"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Data Availability Assessment","Data Characteristics and Availability"
"A reinforcement-based mechanism for discontinuous learning","https://scispace.com/paper/a-reinforcement-based-mechanism-for-discontinuous-learning-lhadk2uk","2022","Journal Article","Proceedings of the National Academy of Sciences","Ana Lucia De Mello Machado","10.1073/pnas.2215352119","","- **Relevance Score:** 67/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses biologically plausible RL rules with persistent exploration to generate a reinforcement wave, producing a sharp discontinuity when the wave reaches the start—mirroring sudden insight. Shows abrupt performance jumps in mice. Analyzes path lengths but only at group level, lacking per‑mouse efficiency detail. Provides trial‑by‑trial dynamics but without explicit individual path efficiency linkage. Links reinforcement mechanism to abrupt improvement, though trial‑by‑trial individual data are limited. Includes computational RL models reproducing the wave dynamics. No comparative species analysis.","Problem-solving and reasoning involve mental exploration and navigation in sparse relational spaces. A physical analogue is spatial navigation in structured environments such as a network of burrows. Recent experiments with mice navigating a labyrinth show a sharp discontinuity during learning, corresponding to a distinct moment of “sudden insight” when mice figure out long, direct paths to the goal. This discontinuity is seemingly at odds with reinforcement learning (RL), which involves a gradual build-up of a value signal during learning. Here, we show that biologically plausible RL rules combined with persistent exploration generically exhibit discontinuous learning. In tree-like structured environments, positive feedback from learning on behavior generates a “reinforcement wave” with a steep profile. The discontinuity occurs when the wave reaches the starting point. By examining the nonlinear dynamics of reinforcement propagation, we establish a quantitative relationship between the learning rule, the agent’s exploration biases, and learning speed. Predictions explain existing data and motivate specific experiments to isolate the phenomenon. Additionally, we characterize the exact learning dynamics of various RL rules for a complex sequential task. ","INDIVIDUAL_PATHS: Unclear
TRIAL_DATA: Unclear
DATA_ACCESS: None
SUDDEN_IMPROVEMENT: Yes
N_INDIVIDUALS: Not available in metadata.
N_TRIALS: Not available in metadata.
PRIORITY: Not available in metadata.","The paper discusses experiments with mice navigating a labyrinth and a sharp discontinuity during learning. It mentions that predictions explain existing data and motivate specific experiments. However, the metadata does not specify: (1) individual mouse trajectories, (2) the number of mice studied, (3) the number of trials or temporal resolution, (4) data availability (raw data repository, supplementary files, digitizable figures), or (5) whether path efficiency or other continuous performance metrics are tracked over time. Not specified."
"Mice in a labyrinth: Rapid learning, sudden insight, and efficient exploration","https://scispace.com/paper/mice-in-a-labyrinth-rapid-learning-sudden-insight-and-4nnr7126ox","2021","Posted Content","bioRxiv","Matthew Rosenberg
Tony Zhang
Pietro Perona
Markus Meister","10.1101/2021.01.14.426746","https://scispace.com/pdf/mice-in-a-labyrinth-rapid-learning-sudden-insight-and-4nnr7126ox.pdf","- **Relevance Score:** 41/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Demonstrates abrupt, per‑mouse efficiency gains with trial‑by‑trial data, but lacks a reinforcement mechanism and cross‑species or paradigm comparisons.","Animals learn certain complex tasks remarkably fast, sometimes after a single experience. What behavioral algorithms support this efficiency? Many contemporary studies based on two-alternative-forced-choice (2AFC) tasks observe only slow or incomplete learning. As an alternative, we study the unconstrained behavior of mice in a complex labyrinth and measure the dynamics of learning and the behaviors that enable it. A mouse in the labyrinth makes ~2000 navigation decisions per hour. The animal quickly discovers the location of a reward in the maze and executes correct 10-bit choices after only 10 reward experiences – a learning rate 1000-fold higher than in 2AFC experiments. Many mice improve discontinuously from one minute to the next, suggesting moments of sudden insight about the structure of the labyrinth. The underlying search algorithm does not require a global memory of places visited and is largely explained by purely local turning rules.","INDIVIDUAL_PATHS: Yes
TRIAL_DATA: Yes
DATA_ACCESS: Repository
SUDDEN_IMPROVEMENT: Yes
N_INDIVIDUALS: 20
N_TRIALS: ~15,000 decisions in a single night | ~2000 navigation decisions per hour
PRIORITY: High","*   **Individual mouse trajectories:** The paper illustrates the trajectory of a mouse's nose in full spatio-temporal detail (Figure 2) and uses ""node sequence"" as a reduced representation for individual animals.
*   **Number of mice studied:** 20 animals were initially studied, with one outlier excluded, resulting in 19 animals for analysis (10 rewarded, 9 unrewarded).
*   **Number of trials or temporal resolution:** Mice make ~2000 navigation decisions per hour, with 16,192 steps (median) over 7 hours.
*   **Data availability:** All data and code needed to reproduce figures and results are available in a public repository: https://github.com/markusmeister/Rosenberg-2021-Repository.
*   **Path efficiency or other continuous performance metrics tracked over time:** Yes, path length to water, rate of errors, and speed of ""water runs"" are tracked over time (Figure 3B). Exploration efficiency is also tracked over time (Figure 7C)."
"Autoshaped Head Poking in the Mouse: A Quantitative Analysis of the Learning Curve.","https://scispace.com/paper/autoshaped-head-poking-in-the-mouse-a-quantitative-analysis-4vciqucnsm","2006","Journal Article","Journal of the Experimental Analysis of Behavior","E. B. Papachristos
Charles R. Gallistel","10.1901/JEAB.2006.71-05","https://scispace.com/pdf/autoshaped-head-poking-in-the-mouse-a-quantitative-analysis-4vciqucnsm.pdf","- **Relevance Score:** 37/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses autoshaped reinforcement to drive abrupt head‑poking acquisition; provides trial‑by‑trial curves showing sudden performance jumps; lacks maze path efficiency data; links reinforcement to abrupt learning but without explicit path analysis; mentions similar abrupt patterns in rats, pigeons, and rabbits.","In autoshaping experiments, we quantified the acquisition of anticipatory head poking in individual mice, using an algorithm that finds changes in the slope of a cumulative record. In most mice, upward changes in the amount of anticipatory poking per trial were abrupt, and tended to occur at session boundaries, suggesting that the session is as significant a unit of experience as the trial. There were large individual differences in the latency to the onset of vigorous responding. “Asymptotic” performance was unstable; large, bidirectional, and relatively enduring changes were common. Given the characteristics of the individual learning curves, it is unlikely that physiologically meaningful estimates of rate of learning can be extracted from group-average learning curves.","INDIVIDUAL_PATHS: No
TRIAL_DATA: Yes
DATA_ACCESS: Figures
SUDDEN_IMPROVEMENT: Yes
N_INDIVIDUALS: 20
N_TRIALS: 13 to 111 per session (varied across mice and sessions)
PRIORITY: High","The paper reports individual mouse trajectories through raster plots for single mice (Figure 1). Twenty female C57BL/6 mice were studied. Event times were recorded with a resolution of 20 ms, and trials ranged from 13 to 111 per session. The paper does not specify a raw data repository or supplementary files for data availability. Path efficiency or other continuous performance metrics are not explicitly tracked over time in the provided text."
"Mice in a labyrinth show rapid learning, sudden insight, and efficient exploration","https://scispace.com/paper/mice-in-a-labyrinth-show-rapid-learning-sudden-insight-and-lihisls4kr","2021","Journal Article","eLife","Matthew Rosenberg
Tony Zhang
Pietro Perona
Markus Meister","10.7554/ELIFE.66175","https://elifesciences.org/articles/66175.pdf","- **Relevance Score:** 33/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Shows sudden insight and per‑mouse path efficiency with trial‑by‑trial dynamics, but lacks a reinforcement framework, integrated linking, computational models, or cross‑species comparisons.","Animals learn certain complex tasks remarkably fast, sometimes after a single experience. What behavioral algorithms support this efficiency? Many contemporary studies based on two-alternative-forced-choice (2AFC) tasks observe only slow or incomplete learning. As an alternative, we study the unconstrained behavior of mice in a complex labyrinth and measure the dynamics of learning and the behaviors that enable it. A mouse in the labyrinth makes ~2000 navigation decisions per hour. The animal explores the maze, quickly discovers the location of a reward, and executes correct 10-bit choices after only 10 reward experiences - a learning rate 1000-fold higher than in 2AFC experiments. Many mice improve discontinuously from one minute to the next, suggesting moments of sudden insight about the structure of the labyrinth. The underlying search algorithm does not require a global memory of places visited and is largely explained by purely local turning rules.","INDIVIDUAL_PATHS: Unclear
TRIAL_DATA: Unclear
DATA_ACCESS: None
SUDDEN_IMPROVEMENT: Yes
N_INDIVIDUALS: Unclear
N_TRIALS: Unclear
PRIORITY: Medium","Not specified. The paper studies the unconstrained behavior of mice in a complex labyrinth and measures the dynamics of learning. A mouse makes ~2000 navigation decisions per hour and executes correct 10-bit choices after only 10 reward experiences. Many mice improve discontinuously, suggesting sudden insight. The underlying search algorithm is explained by local turning rules. Data availability and the exact number of mice studied are not specified."
"A global dopaminergic learning rate enables adaptive foraging across many options","https://scispace.com/paper/a-global-dopaminergic-learning-rate-enables-adaptive-6l185uy9ndbv","2024","Journal Article","","Laura L. Grima
Yipei Guo
Lakshmi Narayan
Ann M. Hermundstad
Joshua T. Dudman","10.1101/2024.11.04.621923","","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses reinforcement learning model and trial‑by‑trial data; lacks abrupt insight, individual path metrics, and cross‑species comparisons, so integration of discontinuous improvement is absent.","In natural environments, animals must efficiently allocate their choices across multiple concurrently available resources when foraging, a complex decision-making process not fully captured by existing models. To understand how rodents learn to navigate this challenge we developed a novel paradigm in which untrained, water-restricted mice were free to sample from six options rewarded at a range of deterministic intervals and positioned around the walls of a large (~2m) arena. Mice exhibited rapid learning, matching their choices to integrated reward ratios across six options within the first session. A reinforcement learning model with separate states for staying or leaving an option and a dynamic, global learning rate was able to accurately reproduce mouse learning and decision-making. Fiber photometry recordings revealed that dopamine in the nucleus accumbens core (NAcC), but not dorsomedial striatum (DMS), more closely reflected the global learning rate than local error-based updating. Altogether, our results provide insight into the neural substrate of a learning algorithm that allows mice to rapidly exploit multiple options when foraging in large spatial environments. ","INDIVIDUAL_PATHS: Unclear
TRIAL_DATA: Unclear
DATA_ACCESS: None
SUDDEN_IMPROVEMENT: Unclear
N_INDIVIDUALS: Unclear
N_TRIALS: Unclear
PRIORITY: Low","(1) Not specified. (2) Mice were studied, but the exact number is not specified. (3) Not specified. (4) Not specified. (5) Mice exhibited rapid learning, matching choices to integrated reward ratios, but specific continuous performance metrics like path efficiency are not specified."
"Reinforcement learning and insight in the artificial pigeon","https://scispace.com/paper/reinforcement-learning-and-insight-in-the-artificial-pigeon-qlpg2rvnv3","2019","Journal Article","Cognitive Science","Thomas R. Colin
Tony Belpaeme","","https://escholarship.org/content/qt18w9n1gf/qt18w9n1gf.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses deep RL to model insight in pigeons, showing abrupt performance jumps and a reinforcement mechanism; lacks mouse data, individual path efficiency, and full integrated analysis, but provides trial‑by‑trial dynamics and strong computational modeling.","","INDIVIDUAL_PATHS: No | TRIAL_DATA: Yes | DATA_ACCESS: None | SUDDEN_IMPROVEMENT: Yes | N_INDIVIDUALS: Not available in metadata. | N_TRIALS: Not available in metadata. | PRIORITY: Not available in metadata.","(1) Not specified, (2) Not specified, (3) Not specified, (4) A fulltext PDF is available via escholarship.org, (5) Individual path efficiency is not relevant according to relevance metadata."
"A reinforcement-based mechanism for discontinuous learning","https://scispace.com/paper/a-reinforcement-based-mechanism-for-discontinuous-learning-2xte5rd3","2022","Posted Content","bioRxiv","G. Ramalinga Reddy","10.1101/2022.05.06.490910","https://scispace.com/pdf/a-reinforcement-based-mechanism-for-discontinuous-learning-2xte5rd3.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses reinforcement propagation model to explain step-like learning curves; demonstrates abrupt performance jumps in theory; includes continuous-time RL model. No mouse maze data, individual path metrics, or trial‑by‑trial recordings; lacks cross‑species or paradigm comparisons.","Problem-solving and reasoning involve mental exploration and navigation in sparse relational spaces. A physical analogue is spatial navigation in structured environments such as a network of burrows. Recent experiments with mice navigating a labyrinth show a sharp discontinuity during learning, corresponding to a distinct moment of ‘sudden insight’ when mice figure out long, direct paths to the goal. This discontinuity is seemingly at odds with reinforcement learning (RL), which involves a gradual build-up of a value signal during learning. Here, we show that biologically-plausible RL rules combined with persistent exploration generically exhibit discontinuous learning. In tree-like structured environments, positive feedback from learning on behavior generates a ‘reinforcement wave’ with a steep profile. The discontinuity occurs when the wave reaches the starting point. By examining the nonlinear dynamics of reinforcement propagation, we establish a quantitative relationship between the learning rule, the agent’s exploration biases and learning speed. Predictions explain existing data and motivate specific experiments to isolate the phenomenon. Additionally, we characterize the exact learning dynamics of various RL rules for a complex sequential task.","INDIVIDUAL_PATHS: Yes
TRIAL_DATA: Yes
DATA_ACCESS: Figures
SUDDEN_IMPROVEMENT: Yes
N_INDIVIDUALS: 20
N_TRIALS: Not addressed in this paper.
PRIORITY: High","This paper reports on experiments where mice navigate a labyrinth, with markerless pose estimation tracking movements continuously over seven hours. Individual mouse data is shown, for example, in Figure 1b and Figure 5a,b, detailing direct paths and rewards. Ten of twenty mice were water-deprived. Trajectories are tracked continuously, allowing for fine temporal resolution. The paper does not explicitly state the availability of raw data in a repository like Dryad, but it does refer to supplementary files (e.g., Figure S1, S2, S3, S4, S5, Movies S1-S5). Path efficiency (e.g., direct paths > 6) and cumulative rewards are tracked over time."
"Circuit mechanisms of navigation strategy learning in mice","https://scispace.com/paper/circuit-mechanisms-of-navigation-strategy-learning-in-mice-4hmtvpsp4q","2023","Journal Article","Current Biology","Martina Parrini
Guillaume Tricot
Pico Caroni
Maria Spolidoro","10.1016/j.cub.2023.11.047","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides trial‑by‑trial strategy data and shows reinforcement‑modulated deployment, but abrupt insight and explicit efficiency links are only implied; no computational models or cross‑species comparisons.","Navigation tasks involve the gradual selection and deployment of increasingly effective searching procedures to reach targets. The brain mechanisms underlying such complex behavior are poorly understood, but their elucidation might provide insights into the systems linking exploration and decision making in complex learning. Here, we developed a trial-by-trial goal-related search strategy analysis as mice learned to navigate identical water mazes encompassing distinct goal-related rules and monitored the strategy deployment process throughout learning. We found that navigation learning involved the following three distinct phases: an early phase during which maze-specific search strategies are deployed in a minority of trials, a second phase of preferential increasing deployment of one search strategy, and a final phase of increasing commitment to this strategy only. The three maze learning phases were affected differently by inhibition of retrosplenial cortex (RSC), dorsomedial striatum (DMS), or dorsolateral striatum (DLS). Through brain region-specific inactivation experiments and gain-of-function experiments involving activation of learning-related cFos+ ensembles, we unraveled how goal-related strategy selection relates to deployment throughout these sequential processes. We found that RSC is critically important for search strategy selection, DMS mediates strategy deployment, and DLS ensures searching consistency throughout maze learning. Notably, activation of specific learning-related ensembles was sufficient to direct strategy selection (RSC) or strategy deployment (DMS) in a different maze. Our results establish a goal-related search strategy deployment approach to dissect unsupervised navigation learning processes and suggest that effective searching in navigation involves evidence-based goal-related strategy direction by RSC, reinforcement-modulated strategy deployment through DMS, and online guidance through DLS. ","INDIVIDUAL_PATHS: Unclear
TRIAL_DATA: Yes
DATA_ACCESS: None
SUDDEN_IMPROVEMENT: Unclear
N_INDIVIDUALS: Unclear
N_TRIALS: Unclear
PRIORITY: Low","The paper reports a trial-by-trial goal-related search strategy analysis. It does not explicitly state whether individual mouse trajectories are reported, only that maze-specific search strategies are deployed. The number of mice studied is not specified. The number of trials or temporal resolution is ""trial-by-trial"". Data availability is not specified. Path efficiency or other continuous performance metrics are not explicitly mentioned, but strategy deployment is monitored throughout learning."
"Modeling the Basal Ganglia in Mice Through Reinforcement Learning in Maze Solving","https://scispace.com/paper/p4vTUqVQtSgJ","","","","H Ramezani","","https://www.hoomanramezani.com/data/rl-maze-pathfinding.pdf","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses deep reinforcement learning to model basal ganglia; discusses discontinuous learning conceptually; lacks detailed individual path or trial‑by‑trial data; includes computational model but no comparative analysis.","","INDIVIDUAL_PATHS: No
TRIAL_DATA: No
DATA_ACCESS: None
SUDDEN_IMPROVEMENT: Unclear
N_INDIVIDUALS: Not available in metadata.
N_TRIALS: Not available in metadata.
PRIORITY: Low","Individual mouse trajectories: Not specified. Number of mice studied: Not specified. Number of trials or temporal resolution: Not specified. Data availability: Fulltext URL provided: `https://www.hoomanramezani.com/data/rl-maze-pathfinding.pdf`. Whether path efficiency or other continuous performance metrics are tracked over time: Not specified. The paper's relevance metadata indicates it lacks detailed individual path or trial-by-trial data and no comparative analysis."
"Characterizing the dynamic learning process: Implications of a quantitative analysis","https://scispace.com/paper/characterizing-the-dynamic-learning-process-implications-of-3sicgk6p4o","2024","Journal Article","Behavioural Brain Research","Meilin Wu
Fuhong Liu
Hao Wang
Li Yao
Chunling Wei
Qi Zheng
Jing Han
Zhiqiang Liu
Yihui Liu
Haijun Duan
Wei Ren
Zongpeng Sun","10.1016/j.bbr.2024.114915","","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses novel change‑point analysis to reveal abrupt performance shifts; provides trial‑by‑trial data on instrumental aversive learning. Lacks maze navigation, individual path efficiency, computational models, and cross‑species comparisons.","Understanding the neural mechanisms involved in learning processes is crucial for unraveling the complexities of behavior and cognition. Sudden change from the untrained level to the fully-learned level is a pivotal feature of instrumental learning. However, the concept of change point and suitable methods to conveniently analyze the characteristics of sudden change in groups remain elusive, which might hinder a fuller understanding of the neural mechanism underlying dynamic leaning process. In the current study, we investigated the learning processes of mice that were trained in an aversive instrumental learning task, and introduced a novel strategy to analyze behavioral variations in instrumental learning, leading to improved clarity on the concept of sudden change and enabling comprehensive group analysis. By applying this novel strategy, we examined the effects of cocaine and a cannabinoid receptor agonist on instrumental learning. Intriguingly, our analysis revealed significant differences in timing and occurrence of sudden changes that were previously overlooked using traditional analysis. Overall, our research advances understanding of behavioral variation during instrumental learning and the interplay between learning behaviors and neurotransmitter systems, contributing to a deeper comprehension of learning processes and informing future investigations and therapeutic interventions. ","INDIVIDUAL_PATHS: Unclear
TRIAL_DATA: Unclear
DATA_ACCESS: None
SUDDEN_IMPROVEMENT: Yes
N_INDIVIDUALS: Unclear
N_TRIALS: Unclear
PRIORITY: Unclear","(1) Not specified. The study investigated learning processes of mice, introducing a novel strategy to analyze behavioral variations in instrumental learning. (2) Not specified. (3) Not specified. (4) Not specified. (5) The paper mentions ""behavioral variations in instrumental learning"" and ""timing and occurrence of sudden changes"" were examined, but specific metrics like path efficiency are not specified."
