"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Data Availability Assessment","Data Characteristics and Availability","Statistical Methods for Transitions"
"Vocal imitation in zebra finches is inversely related to model abundance.","https://scispace.com/paper/10536020","1999","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Tchernichovski
Lints
Mitra
Nottebohm","10.1073/pnas.96.22.12901","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC23154/pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses SAP to score model‑pupil similarity; provides detailed similarity scores but lacks daily tutor recordings and full longitudinal data; no supplementary datasets, advanced stats, cross‑species or neural/genetic integration.","A juvenile male zebra finch, Taeniopygia guttata, kept singly with its father develops a fairly complete imitation of the father's song. The imitation is less complete when other male siblings are present, possibly because as imitation commences, model abundance increases. Here we examine the consequences of allowing more or less access to a song model. Young males heard a brief song playback when they pecked at a key, but different males were allowed to hear different numbers of playbacks per day. Using an automated procedure that scored the similarity between model and pupil songs, we discovered that 40 playbacks of the song motif per day, lasting a total of 30 sec, resulted in a fairly complete imitation. More exposure led to less complete imitation. Vocal imitation often may reflect the interaction of diverse influences. Among these, we should now include the possible inhibitory effect of model overabundance, which may foster individual identity and explain the vocal diversity found in zebra finches and other songbirds.","INDIVIDUAL_TRAJECTORIES: Unclear
TIME_SERIES: Not available in metadata.
DATA_ACCESS: None
N_INDIVIDUALS: Not available in metadata.
N_TIMEPOINTS: Not available in metadata.
PRIORITY: Low","The paper mentions an automated procedure for scoring similarity between model and pupil songs. It uses SAP (Sound Analysis Pro) for similarity scoring. Individual-level trajectories are somewhat relevant, but daily tutor recordings, full longitudinal data, and supplementary individual-bird data availability are not relevant or not available. The number of individuals and temporal resolution (number of time points or daily recordings) are not specified. No raw data repository or digitizable figures are mentioned.","The paper uses an automated procedure that scored the similarity between model and pupil songs. It does not mention changepoint detection, hidden Markov models (HMM), state-space models, Bayesian methods for detecting discontinuities, or other methods for quantifying transition sharpness. Standard statistical methods only."
"Incomplete and Inaccurate Vocal Imitation after Knockdown of FoxP2 in Songbird Basal Ganglia Nucleus Area X","https://scispace.com/paper/incomplete-and-inaccurate-vocal-imitation-after-knockdown-of-16qi33grtu","2007","Journal Article","PLOS Biology","Sebastian Haesler
Christelle Rochefort
Christelle Rochefort
Benjamin Georgi
Pawel Licznerski
Pavel Osten
Constance Scharff
Constance Scharff","10.1371/JOURNAL.PBIO.0050321","https://scispace.com/pdf/incomplete-and-inaccurate-vocal-imitation-after-knockdown-of-16qi33grtu.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses SAP to compute similarity scores for syllable trajectories; focuses on score‑based tutor‑pupil matching. Provides recordings at key developmental stages, not daily. Covers two time points, offering partial longitudinal insight. No supplementary per‑bird data. Applies non‑parametric stats, not full mixed‑effects modeling. No cross‑species comparison. Links acoustic deficits to FoxP2 genetic knockdown.","The gene encoding the forkhead box transcription factor, FOXP2, is essential for developing the full articulatory power of human language. Mutations of FOXP2 cause developmental verbal dyspraxia (DVD), a speech and language disorder that compromises the fluent production of words and the correct use and comprehension of grammar. FOXP2 patients have structural and functional abnormalities in the striatum of the basal ganglia, which also express high levels of FOXP2. Since human speech and learned vocalizations in songbirds bear behavioral and neural parallels, songbirds provide a genuine model for investigating the basic principles of speech and its pathologies. In zebra finch Area X, a basal ganglia structure necessary for song learning, FoxP2 expression increases during the time when song learning occurs. Here, we used lentivirus-mediated RNA interference (RNAi) to reduce FoxP2 levels in Area X during song development. Knockdown of FoxP2 resulted in an incomplete and inaccurate imitation of tutor song. Inaccurate vocal imitation was already evident early during song ontogeny and persisted into adulthood. The acoustic structure and the duration of adult song syllables were abnormally variable, similar to word production in children with DVD. Our findings provide the first example of a functional gene analysis in songbirds and suggest that normal auditory-guided vocal motor learning requires FoxP2.","INDIVIDUAL_TRAJECTORIES: Unclear
TIME_SERIES: No
DATA_ACCESS: Figures
N_INDIVIDUALS: 7 for shFoxP2, 7 for shControl, 3 for shGFP (for similarity scores); 6 for tutors (for variability)
N_TIMEPOINTS: 3 (PHD65, PHD80, PHD90)
PRIORITY: Medium","- **Individual-level trajectories:** The paper mentions that the dashed line connecting data points in Figure 5 illustrates the directionality of changes over time, but does not imply a linear relationship, suggesting individual data points contribute to group means.
- **Number of individuals studied:** Varied by experiment, e.g., n=7 for shFoxP2 and n=7 for shControl in similarity scores (Figure 2D); n=7 animals for all ages in Figure 5A for shFoxP2, n=5, n=6, n=7 for shControl at different PHD.
- **Number of time points or temporal resolution:** Song recordings were made at PHD65, PHD80, and between PHD90 and PHD93.
- **Data availability:** Supplementary files (Audio S1-S6, Figure S1-S9) are available. No raw data repository mentioned.
- **Specific mention of Sound Analysis Pro or other quantitative song analysis tools:** Sound Analysis Pro (SAP) version 1.04 was used for quantitative song analysis.","The paper does not explicitly mention advanced statistical methods such as changepoint detection, hidden Markov models, state-space models, or Bayesian methods for detecting discontinuities or quantifying transition sharpness. Instead, it uses entropy to measure song stereotypy and sequence consistency.

Standard statistical methods only."
"A mesocortical dopamine circuit enables the cultural transmission of vocal behaviour","https://scispace.com/paper/a-mesocortical-dopamine-circuit-enables-the-cultural-dcu6s45zq3","2018","Journal Article","Nature","Masashi Tanaka
Masashi Tanaka
Fangmiao Sun
Fangmiao Sun
Yulong Li
Yulong Li
Yulong Li
Richard Mooney","10.1038/S41586-018-0636-7","https://scispace.com/pdf/a-mesocortical-dopamine-circuit-enables-the-cultural-dcu6s45zq3.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses SAP to quantify tutor‑pupil similarity; records songs but not day‑by‑day; follows development across weeks but without continuous trajectories; provides no raw individual‑bird data; reports similarity scores rather than full trajectory analysis; lacks statistical trajectory models and cross‑species comparison; links dopamine neural activity to learning.","The cultural transmission of behaviour depends on the ability of the pupil to identify and emulate an appropriate tutor1-4. How the brain of the pupil detects a suitable tutor and encodes the behaviour of the tutor is largely unknown. Juvenile zebra finches readily copy the songs of the adult tutors that they interact with, but not the songs that they listen to passively through a speaker5,6, indicating that social cues generated by the tutor facilitate song imitation. Here we show that neurons in the midbrain periaqueductal grey of juvenile finches are selectively excited by a singing tutor and-by releasing dopamine in the cortical song nucleus HVC-help to encode the song representations of the tutor used for vocal copying. Blocking dopamine signalling in the HVC of the pupil during tutoring blocked copying, whereas pairing stimulation of periaqueductal grey terminals in the HVC with a song played through a speaker was sufficient to drive copying. Exposure to a singing tutor triggered the rapid emergence of responses to the tutor song in the HVC of the pupil and a rapid increase in the complexity of the song of the pupil, an early signature of song copying7,8. These findings reveal that a dopaminergic mesocortical circuit detects the presence of a tutor and helps to encode the performance of the tutor, facilitating the cultural transmission of vocal behaviour.","INDIVIDUAL_TRAJECTORIES: Yes
TIME_SERIES: Yes
DATA_ACCESS: Figures
N_INDIVIDUALS: 96
N_TIMEPOINTS: 5-7 (days for tutoring sessions, 5 days specifically mentioned for microdialysis)
PRIORITY: High","The paper reports individual data points in figures (e.g., Fig. 1c,g,k, 2i, 4e,f and Extended Data Figs. 1b,c,e,f,g, 2b, 3c-e, 8d-f). Data was collected from 96 birds. Time points include 1.5-hour daily tutoring sessions over five consecutive days, and analysis at 30, 45, and 90 days post-hatch. The datasets generated and analyzed during the current study are available from the corresponding author on reasonable request. Sound Analysis Pro (SAP2011) was used for song analysis.","Standard statistical methods only. The paper primarily uses two-way ANOVA and paired/unpaired t-tests for statistical analysis, as well as x²-tests. No advanced methods like changepoint detection, hidden Markov models, state-space models, or Bayesian methods for detecting discontinuities are mentioned."
"Representation of Early Sensory Experience in the Adult Auditory Midbrain: Implications for Vocal Learning","https://scispace.com/paper/representation-of-early-sensory-experience-in-the-adult-10ftfwai1w","2013","Journal Article","PLOS ONE","Anne van der Kant
Sébastien Derégnaucourt
Manfred Gahr
Annemie Van der Linden
Colline Poirier","10.1371/JOURNAL.PONE.0061764","https://scispace.com/pdf/representation-of-early-sensory-experience-in-the-adult-10ftfwai1w.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses SAP to compute similarity scores for each bird; no day‑by‑day recordings or full developmental trajectories; lacks supplementary raw data; provides a single similarity snapshot rather than a trajectory; includes fMRI neural measurements linking acoustics to brain activity.","Vocal learning in songbirds and humans occurs by imitation of adult vocalizations. In both groups, vocal learning includes a perceptual phase during which juveniles birds and infants memorize adult vocalizations. Despite intensive research, the neural mechanisms supporting this auditory memory are still poorly understood. The present functional MRI study demonstrates that in adult zebra finches, the right auditory midbrain nucleus responds selectively to the copied vocalizations. The selective signal is distinct from selectivity for the bird's own song and does not simply reflect acoustic differences between the stimuli. Furthermore, the amplitude of the selective signal is positively correlated with the strength of vocal learning, measured by the amount of song that experimental birds copied from the adult model. These results indicate that early sensory experience can generate a long-lasting memory trace in the auditory midbrain of songbirds that may support song learning.","INDIVIDUAL_TRAJECTORIES: No
TIME_SERIES: No
DATA_ACCESS: None
N_INDIVIDUALS: 20
N_TIMEPOINTS: Not addressed in this paper.
PRIORITY: High","The paper studied 20 adult male zebra finches, with analyses performed on 17. It does not report individual-level trajectories. Functional MRI data acquisition involved 93 ON blocks (31 per stimulus) and 93 OFF blocks, with 2 magnetic resonance images acquired per block. Raw data availability is not specified. Sound Analysis Pro (SAP) 2.0 software was explicitly used for song recording and acoustic similarity assessment.","The paper uses standard statistical methods including the General Linear Model, one-way repeated measure ANOVA, and post-hoc one-tailed paired t-tests. P values were corrected using the Family Wise Error method based on the Random Field Theory. No advanced methods like changepoint detection, hidden Markov models, state-space models, or Bayesian methods for detecting discontinuities are mentioned.

Standard statistical methods only."
"Studying the song development process rationale and methods","https://scispace.com/paper/studying-the-song-development-process-rationale-and-methods-2q0f5ocvrv","2004","Journal Article","Annals of the New York Academy of Sciences","Ofer Tchernichovski
Thierry Lints
Sébastien Derégnaucourt
Aylin Cimenser
Partha P. Mitra","10.1196/ANNALS.1298.031","","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses SAP framework to detail automated similarity scoring; enables day‑by‑day tutor/pupil recordings and continuous developmental mapping, but provides no raw individual‑bird datasets or extensive statistical modeling, and only briefly mentions neural recording integration.","Current technology makes it possible to measure song development continuously throughout a vocal ontogeny. Here we briefly review some of the problems involved and describe experimental and analytic methods for automatic tracing of vocal changes. These techniques make it possible to characterize the specific methods the bird uses to imitate sounds: an automated song recognition procedure allows continuous song recording, followed by automated sound analysis that partition the song to syllables, extract acoustic features of each syllable, and summarize the entire song development process over time into a single database. The entire song development is then presentable in the form of images or movie clips. These Dynamic Vocal Development (DVD) maps show how each syllable type emerges, and how the bird manipulates syllable features to eventually approximate the model song. Most of the experimental and analytic methods described here have been organized into a software package, which also allows combined neural and sound recording to monitor changes in brain activity as vocal learning occurs. The software is available at http://ofer.sci.ccny.cuny.edu.","INDIVIDUAL_TRAJECTORIES: Yes
TIME_SERIES: Yes
DATA_ACCESS: Repository
N_INDIVIDUALS: Unclear
N_TIMEPOINTS: Unclear
PRIORITY: High","The paper describes methods for continuous song recording and automated sound analysis to characterize how ""the bird manipulates syllable features."" It summarizes the entire song development process over time into a single database, presented as Dynamic Vocal Development (DVD) maps showing how each syllable type emerges. The software, available at http://ofer.sci.ccny.cuny.edu, allows combined neural and sound recording. Specific sound analysis tools are not named beyond ""automated sound analysis."" Number of individuals, time points, and raw data availability are not specified.","Not available in metadata."
"The interplay of within-species perceptual predispositions and experience during song ontogeny in zebra finches (Taeniopygia guttata)","https://scispace.com/paper/the-interplay-of-within-species-perceptual-predispositions-1fmb8m75kl","2014","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Sita M. ter Haar
Wiebke Kaemper
Koen A. Stam
Clara C. Levelt
Carel ten Cate","10.1098/RSPB.2014.1860","https://scispace.com/pdf/the-interplay-of-within-species-perceptual-predispositions-1fmb8m75kl.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses SAP to compare tutor‑tutee similarity, but lacks daily recordings, individual longitudinal trajectories, and supplementary data; similarity scores are discussed but not as primary trajectory analysis.","Vocal acquisition in songbirds and humans shows many similarities, one of which is that both involve a combination of experience and perceptual predispositions. Among languages some speech sounds are shared, while others are not. This could reflect a predisposition in young infants for learning some speech sounds over others, which combines with exposure-based learning. Similarly, in songbirds, some sounds are common across populations, while others are more specific to populations or individuals. We examine whether this is also due to perceptual preferences for certain within-species element types in naive juvenile male birds, and how such preferences interact with exposure to guide subsequent song learning. We show that young zebra finches lacking previous song exposure perceptually prefer songs with more common zebra finch song element types over songs with less common elements. Next, we demonstrate that after subsequent tutoring, birds prefer tutor songs regardless of whether these contain more common or less common elements. In adulthood, birds tutored with more common elements showed a higher song similarity to their tutor song, indicating that the early bias influenced song learning. Our findings help to understand the maintenance of similarities and the presence of differences among birds' songs, their dialects and human languages.","INDIVIDUAL_TRAJECTORIES: Unclear
TIME_SERIES: No
DATA_ACCESS: Supplementary/Figures
N_INDIVIDUALS: 16
N_TIMEPOINTS: 3 (preference tests at 37, 47, 57 dph)
PRIORITY: High","The paper does not explicitly report individual-level trajectories, but rather group means. Sixteen male zebra finches were studied, with 12 used for initial analysis. Data was collected at 37, 47, and 57 days post-hatch. Electronic supplementary material is available, including spectrograms. Sound Analysis Pro (SAP) 2011 was used for similarity measures. Raw data repository is not specified.","The paper uses linear mixed effect models for preference test data and Wilcoxon signed-rank tests and Kruskal-Wallis rank-sum tests for song similarity measures. It does not mention changepoint detection, hidden Markov models (HMM), state-space models, Bayesian methods for detecting discontinuities, or other methods for quantifying transition sharpness.

Standard statistical methods only."
"A procedure for an automated measurement of song similarity","https://scispace.com/paper/a-procedure-for-an-automated-measurement-of-song-similarity-10d4ozktxx","2000","Journal Article","Animal Behaviour","Ofer Tchernichovski
Fernando Nottebohm
Ching Elizabeth Ho
Bijan Pesaran
Partha P. Mitra","10.1006/ANBE.1999.1416","http://ofer.sci.ccny.cuny.edu/publications/AnimalBehv2000_SoundAnalysis.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Introduces automated similarity measurement for zebra finch songs, but lacks daily tutor‑pupil recordings, longitudinal trajectories, and supplementary individual‑bird data.","","INDIVIDUAL_TRAJECTORIES: No
TIME_SERIES: No
DATA_ACCESS: None
N_INDIVIDUALS: Not available in metadata.
N_TIMEPOINTS: Not available in metadata.
PRIORITY: Low","The paper does not explicitly report individual-level trajectories. The number of individuals studied, number of time points, or temporal resolution are not specified. Data availability (raw data repository, supplementary files, digitizable figures) is not mentioned. The paper's relevance metadata indicates ""SAP-based similarity scoring of individual zebra finch song trajectories"" and the snippet mentions ""Sound Analysis Pro"".","Standard statistical methods only. The metadata does not mention changepoint detection, hidden Markov models (HMM), state-space models, Bayesian methods for detecting discontinuities, or other methods for quantifying transition sharpness."
"Parental developmental experience affects vocal learning in offspring","https://scispace.com/paper/parental-developmental-experience-affects-vocal-learning-in-2t9khnd7ei","2024","Journal Article","Dental science reports","Fanny-Linn H. Kraft
Ondi L. Crino
Saidat O. Adeniran-Obey
Raven A. Moraney
David F. Clayton
Julia M. George
Katherine L. Buchanan","10.1038/s41598-024-64520-8","https://scispace.compdf/parental-developmental-experience-affects-vocal-learning-in-2t9khnd7ei.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses SAP to compare father‑son song similarity but lacks daily recordings, longitudinal tracking, supplementary datasets, advanced modeling, cross‑species or neural/genetic integration.","Cultural and genetic inheritance combine to enable rapid changes in trait expression, but their relative importance in determining trait expression across generations is not clear. Birdsong is a socially learned cognitive trait that is subject to both cultural and genetic inheritance, as well as being affected by early developmental conditions. We sought to test whether early-life conditions in one generation can affect song acquisition in the next generation. We exposed one generation (F1) of nestlings to elevated corticosterone (CORT) levels, allowed them to breed freely as adults, and quantified their son's (F2) ability to copy the song of their social father. We also quantified the neurogenetic response to song playback through immediate early gene (IEG) expression in the auditory forebrain. F2 males with only one corticosterone-treated parent copied their social father's song less accurately than males with two control parents. Expression of ARC in caudomedial nidopallium (NCM) correlated with father-son song similarity, and patterns of expression levels of several IEGs in caudomedial mesopallium (CMM) in response to father song playback differed between control F2 sons and those with a CORT-treated father only. This is the first study to demonstrate that developmental conditions can affect social learning and neurogenetic responses in a subsequent generation. ","INDIVIDUAL_TRAJECTORIES: Unclear
TIME_SERIES: No
DATA_ACCESS: Repository
N_INDIVIDUALS: 45 (F2 males tested for playback response), 42 (F2 males and social fathers for genotypic data), 39 (F2 males and social mothers for genotypic data), 36 (NCM samples), 37 (CMM samples)
N_TIMEPOINTS: Not addressed in this paper.
PRIORITY: Medium","The paper does not explicitly report individual-level trajectories.

*   **Number of individuals studied**: 42 pairs of F2 males and their social fathers; 39 pairs of F2 males and their social mothers; 45 F2 males for playback response; NCM (n=36), CMM (n=37) for IEG expression.
*   **Number of time points or temporal resolution**: F1 nestlings treated during early development; F1 adults bred at PHD > 100; F2 offspring tested at adulthood for song copy; F2 males tested at PHD 101–108 for playback.
*   **Data availability**: Datasets used and analyzed are available from the corresponding author on reasonable request. Supplementary materials are available online.
*   **Specific mention of Sound Analysis Pro or other quantitative song analysis tools**: Sound Analysis Pro 2011 and Luscinia (http://rflachlan.github.io/Luscinia/) were used for song analysis.","The paper uses linear mixed models and MCMC.qpcr (Bayesian analysis of qRT-PCR data) for statistical analysis. It does not explicitly mention advanced methods like changepoint detection, hidden Markov models (HMM), state-space models, or other methods for quantifying transition sharpness.

Standard statistical methods only."
"Sublethal effects of polychlorinated biphenyls (PCBs) on bird behavior","https://scispace.com/paper/sublethal-effects-of-polychlorinated-biphenyls-pcbs-on-bird-278q209md5","2012","Dissertation","","Sara Deleon","","https://scispace.com/pdf/sublethal-effects-of-polychlorinated-biphenyls-pcbs-on-bird-278q209md5.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses SAP to compare PCB‑exposed and control zebra finch songs to fathers, but provides only a single post‑learning snapshot and lacks daily or longitudinal data.","During the last century, polychlorinated biphenyls (PCBs) have emerged as harmful chemical pollutants worldwide. Although the critical toxic effects of PCBs on wildlife are welldocumented, little is known about the behavioral consequences of exposure to sublethal PCB levels. PCBs are predicted to influence a range of behavioral traits due to their effects on endocrine and neurological systems governing those behaviors. We investigated PCB loads and songs of black-capped chickadees (Poecile atricapillus) and song sparrows (Melospiza melodia) along a PCB gradient at the Hudson River Superfund site in New York State. We developed a novel non-destructive sampling method and characterized congener-specific PCB profiles for both songbird species. In addition, we quantified body condition and blood mercury concentration to account for other factors that possibly influence song quality in this region. Our results indicate that regions with higher historic PCB contamination have black-capped chickadees and song sparrows with higher blood PCB loads. PCB profiles of the two species varied substantially based on the proportion of lower chlorinated PCBs. High PCB levels had significant, but contrasting effects on bird song structure. High loads were correlated with a greater proportion of blackcapped chickadees singing inconsistent songs, but a greater proportion of song sparrows with high performance trills. Body condition and blood mercury concentrations results did not adequately explain these song patterns. Thus, PCBs can alter a vital component of communication in birds, and the ramifications of changes in song quality for bird populations extend the toxic effects of environmental PCB pollution.","INDIVIDUAL_TRAJECTORIES: No
TIME_SERIES: No
DATA_ACCESS: Figures
N_INDIVIDUALS: 235 (black-capped chickadees for song analysis), 155 (song sparrows for song analysis), 17 (male zebra finches for control), 7 (male zebra finches for Aroclor 1242), 7 (male zebra finches for PCB 52), 7 (female zebra finches for control), 6 (female zebra finches for Aroclor 1242), 7 (female zebra finches for PCB 52), 20 (adult female subjects for song trials)
N_TIMEPOINTS: 1 (field song measurements), 1 (zebra finch song recording at day 120), 1 (zebra finch brain quantification at 200-300 days), 3 (zebra finch behavioral observation periods: pre-laying, laying, post-hatch), 3 (zebra finch size/age measurements: day 20, day 120, start of experiment), 1 (female song choice assay starting at 365 days)
PRIORITY: Medium","- **Individual-level trajectories:** Not specified if individual-level trajectories are reported, but figures show individual data points (e.g., Figure 2.5, Figure 2.6a).
- **Number of individuals studied:**
    - Field study: 235 black-capped chickadees, 155 song sparrows.
    - Captive studies (Chapter 3): 17 control, 7 Aroclor 1242, 7 PCB 52 male zebra finches.
    - Captive studies (Chapter 4): 13 control, 7 Aroclor 1242, 6 PCB 52 male zebra finches.
    - Captive studies (Chapter 5): 7 control, 6 Aroclor 1242, 7 PCB 52 female zebra finches.
- **Number of time points or temporal resolution:**
    - Field study: Songs recorded from April to August in 2006, 2007, and 2009.
    - Captive studies: Day 2 to day 8 (dosing), day 20 (measurements), day 50/51 (aviaries), day 120 (measurements/recordings), ~365 days (song choice assay).
- **Data availability:** Not addressed in this paper.
- **Specific mention of Sound Analysis Pro or other quantitative song analysis tools:** Sound Analysis Pro (SAP) and RavenPro 1.4 are explicitly mentioned for song analysis.","Standard statistical methods only. The paper primarily uses ANOVA, t-tests, Pearson's Chi-square tests, Kruskal-Wallis tests, Wilcoxon tests, and Principal Components Analysis (PCA) for data analysis. No advanced methods for detecting abrupt transitions or state changes are mentioned."
"Dynamics of the vocal imitation process: how a zebra finch learns its song.","https://scispace.com/paper/11283361","2001","Journal Article","Science (New York, N.Y.)","Tchernichovski
Mitra
Lints
Nottebohm","10.1126/science.1058522","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Tracks daily tutor/pupil songs over 7 weeks, showing prototype emergence and serial transition; uses acoustic mismatch observations but lacks SAP scores, supplementary data, formal statistical models, cross‑species or neural/genetic integration.","Song imitation in birds provides good material for studying the basic biology of vocal learning. Techniques were developed for inducing the rapid onset of song imitation in young zebra finches and for tracking trajectories of vocal change over a 7-week period until a match to a model song was achieved. Exposure to a model song induced the prompt generation of repeated structured sounds (prototypes) followed by a slow transition from repetitive to serial delivery of syllables. Tracking this transition revealed two phenomena: (i) Imitations of dissimilar sounds can emerge from successive renditions of the same prototype, and (ii) developmental trajectories for some sounds followed paths of increasing acoustic mismatch until an abrupt correction occurred by period doubling. These dynamics are likely to reflect underlying neural and articulatory constraints on the production and imitation of sounds.","INDIVIDUAL_TRAJECTORIES: Yes
TIME_SERIES: Yes
DATA_ACCESS: Figures
N_INDIVIDUALS: Not available in metadata.
N_TIMEPOINTS: 7 weeks
PRIORITY: Medium","The paper tracks trajectories of vocal change over a 7-week period for individual zebra finches, achieving a match to a model song. It reports daily tutor and pupil recordings and longitudinal developmental time-course for individual birds. The number of individuals studied is not specified. Data availability (raw data repository, supplementary files, digitizable figures) is not relevant, and no supplementary individual-bird data is available. Specific mention of Sound Analysis Pro or other quantitative song analysis tools is not available.","The paper describes a slow transition from repetitive to serial delivery of syllables and an abrupt correction by period doubling. However, the metadata explicitly states ""Statistical modeling of learning trajectories"" is ""Not Relevant"" and does not mention changepoint detection, HMMs, state-space models, Bayesian methods for discontinuities, or other methods for quantifying transition sharpness."
