"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Data Availability Assessment"
"On-line individual differences in statistical learning predict language processing.","https://scispace.com/paper/on-line-individual-differences-in-statistical-learning-5dkdxocxuk","2010","Journal Article","Frontiers in Psychology","Jennifer B. Misyak
Morten H. Christiansen
J. Bruce Tomblin","10.3389/FPSYG.2010.00031","","- **Relevance Score:** 85/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses an on‑line SRT artificial‑grammar task to track individual, trial‑by‑trial learning trajectories, but does not examine sudden insight or metacognitive awareness.","Considerable individual differences in language ability exist among normally developing children and adults. Whereas past research have attributed such differences to variations in verbal working memory or experience with language, we test the hypothesis that individual differences in statistical learning may be associated with differential language performance. We employ a novel paradigm for studying statistical learning on-line, combining a serial-reaction time task with artificial grammar learning. This task offers insights into both the timecourse of and individual differences in statistical learning. Experiment 1 charts the micro-level trajectory for statistical learning of nonadjacent dependencies and provides an on-line index of individual differences therein. In Experiment 2, these differences are then shown to predict variations in participants’ on-line processing of long-distance dependencies involving center-embedded relative clauses. The findings suggest that individual differences in the ability to learn from experience through statistical learning may contribute to variations in linguistic performance.","INDIVIDUAL_TRAJECTORIES: Yes
TRIAL_DATA: Unclear
DATA_ACCESS: None
SUDDEN_INSIGHT: Unclear
N_PARTICIPANTS: Unclear
N_TRIALS: Unclear
PRIORITY: High"
"The transition from implicit to explicit representations in incidental learning situations: more evidence from high-frequency EEG coupling","https://scispace.com/paper/the-transition-from-implicit-to-explicit-representations-in-5284xgd3uj","2012","Journal Article","Experimental Brain Research","Jan R. Wessel
Hilde Haider
Michael Rose","10.1007/S00221-011-2982-7","https://scispace.com/pdf/the-transition-from-implicit-to-explicit-representations-in-5284xgd3uj.pdf","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses EEG to track implicit‑explicit transition; pinpoints individual RT drop points; provides trial‑wise RT data; captures abrupt insight moments; employs SRTT task.","Implicit learning, i.e. knowledge acquisition in incidental learning situations, is a fundamental feature of the human mind. The extraction of (and subsequent adaptation to) regular patterns in the environment facilitates everyday actions. The cognitive and neural processes accompanying the transition from subconscious (implicit) to verbally reportable (explicit) knowledge about task contingencies are of high interest to the cognitive neurosciences, since they indicate a process that generates awareness for learned associations. Previous studies indicated an important role of high-frequency coupling (gamma-band) for the process that initiates the emergence of awareness for an implicitly learned task-underlying structure. It is unclear, however, whether this EEG coupling is indicative of a general, task-independent process accompanying the shift between implicit and explicit knowledge. To test the general role of this synchrony effect, we investigated EEG gamma-band coherence in the time period where this transition takes place using a serial reaction time paradigm. As expected, we find increased coupling in the gamma-band EEG between right prefrontal and occipital electrode sites just before the behavioural manifestation of emerging explicit sequence representation. These results support both the notion of general involvement of widespread cortical associative couplings in the generation of conscious knowledge and the necessity to study emerging consciously available memory representations using fine-grained properties of behavioural data.","INDIVIDUAL_TRAJECTORIES: Yes
TRIAL_DATA: Yes
DATA_ACCESS: Figures
SUDDEN_INSIGHT: Yes
N_PARTICIPANTS: 24
N_TRIALS: 144
PRIORITY: High"
"Statistical learning in a serial reaction time task: access to separable statistical cues by individual learners.","https://scispace.com/paper/statistical-learning-in-a-serial-reaction-time-task-access-395ff5uihv","2001","Journal Article","Journal of Experimental Psychology: General","Ruskin H. Hunt
Richard N. Aslin","10.1037//0096-3445.130.4.658","","- **Relevance Score:** 67/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses SRT to probe implicit statistical learning; models each participant's RT trajectories; provides fine‑grained trial data; does not examine abrupt insight or metacognition.","The ability of adult learners to exploit the joint and conditional probabilities in a serial reaction time task containing both deterministic and probabilistic information was investigated. Learners used the statistical information embedded in a continuous input stream to improve their performance for certain transitions by simultaneously exploiting differences in the predictability of 2 or more underlying statistics. Analysis of individual learners revealed that although most acquired the underlying statistical structure veridically, others used an alternate strategy that was partially predictive of the sequences. The findings show that learners possess a robust learning device well suited to exploiting the relative predictability of more than 1 source of statistical information at the same time. This work expands on previous studies of statistical learning, as well as studies of artificial grammar learning and implicit sequence learning.","INDIVIDUAL_TRAJECTORIES: Yes
TRIAL_DATA: Unclear
DATA_ACCESS: None
SUDDEN_INSIGHT: Unclear
N_PARTICIPANTS: Unclear
N_TRIALS: Unclear
PRIORITY: Low"
"Tracking human skill learning with a hierarchical Bayesian sequence model","https://scispace.com/paper/tracking-human-skill-learning-with-a-hierarchical-bayesian-3bbk71oy","2022","Journal Article","PLOS Computational Biology","Rinat Okumbekov","10.1371/journal.pcbi.1009866","","- **Relevance Score:** 67/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses a hierarchical Bayesian model on SRT reaction times to track individual learning curves; captures trial‑by‑trial dynamics and implicit sequence acquisition, but does not examine abrupt insight or metacognition.","Humans can implicitly learn complex perceptuo-motor skills over the course of large numbers of trials. This likely depends on our becoming better able to take advantage of ever richer and temporally deeper predictive relationships in the environment. Here, we offer a novel characterization of this process, fitting a non-parametric, hierarchical Bayesian sequence model to the reaction times of human participants’ responses over ten sessions, each comprising thousands of trials, in a serial reaction time task involving higher-order dependencies. The model, adapted from the domain of language, forgetfully updates trial-by-trial, and seamlessly combines predictive information from shorter and longer windows onto past events, weighing the windows proportionally to their predictive power. As the model implies a posterior over window depths, we were able to determine how, and how many, previous sequence elements influenced individual participants’ internal predictions, and how this changed with practice. Already in the first session, the model showed that participants had begun to rely on two previous elements (i.e., trigrams), thereby successfully adapting to the most prominent higher-order structure in the task. The extent to which local statistical fluctuations in trigram frequency influenced participants’ responses waned over subsequent sessions, as participants forgot the trigrams less and evidenced skilled performance. By the eighth session, a subset of participants shifted their prior further to consider a context deeper than two previous elements. Finally, participants showed resistance to interference and slow forgetting of the old sequence when it was changed in the final sessions. Model parameters for individual participants covaried appropriately with independent measures of working memory and error characteristics. In sum, the model offers the first principled account of the adaptive complexity and nuanced dynamics of humans’ internal sequence representations during long-term implicit skill learning. ","INDIVIDUAL_TRAJECTORIES: Yes
TRIAL_DATA: Yes
DATA_ACCESS: None
SUDDEN_INSIGHT: No
N_PARTICIPANTS: Unclear
N_TRIALS: thousands"
"On the Interaction Between Implicit Statistical Learning and the Alternation Advantage: Evidence from Manual and Oculomotor Serial Reaction Time Tasks.","https://scispace.com/paper/on-the-interaction-between-implicit-statistical-learning-and-pdtdelc8h8ph","","","","Arianna Compostella
Marta Tagliani
Maria Vender
Denis Delfitto","10.1371/journal.pone.0318638","","- **Relevance Score:** 65/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses artificial grammars implicitly; records RT and accuracy per trial; employs manual and oculomotor SRT tasks. No single‑participant trajectory modeling or aha‑moment analysis.","In this study, we examine how implicit statistical learning (ISL) interacts with the cognitive bias of the alternation advantage in serial reaction time (SRT) tasks. Our aim was to disentangle perceptual from motor aspects of learning, as well as to shed light on the cognitive sources of this alternation effect. We developed a manual (Study 1) and an oculomotor (Study 2) two-choice SRT task, with visual stimuli following the regularities of two binary artificial grammars (Fibonacci and its modification Skip). While these grammars share some deterministic transitional regularities, they differ in their probabilistic transitional regularities and distributional properties. The pattern of manual RTs in Study 1 provide evidence for ISL, showing that subjects learned the deterministic and probabilistic transitions in the two grammars. We also found a bias toward alternation (vs. repetition) in correspondence to non-deterministic points, regardless of their statistical properties in the grammars. Study 2 provides further evidence for both ISL and the alternation advantage, in terms of shorter manual RTs and higher accuracy rates of anticipatory eye movements. Saccadic responses preceding stimulus onset allow us to argue for the perceptual nature of ISL: participants detected regularities in the string by forming S-S associations based on the sequence of the perceived stimuli. Moreover, we propose that shifts in visuospatial attention preceding oculomotor programming play a role in the occurrence of the alternation advantage, and that such an effect is driven by the spatial location of the stimulus. These findings are also discussed with respect to the presence of two (possibly interacting) parsing strategies: statistical generalizations on the string vs. local hierarchical reconstruction.","INDIVIDUAL_TRAJECTORIES: Unclear
TRIAL_DATA: Unclear
DATA_ACCESS: None
SUDDEN_INSIGHT: Unclear
N_PARTICIPANTS: Unclear
N_TRIALS: Unclear
PRIORITY: Low"
"Differences in implicit vs. explicit grammar processing as revealed by drift-diffusion modeling of reaction times","https://scispace.com/paper/differences-in-implicit-vs-explicit-grammar-processing-as-24kdy3cbct","2021","","","David Abugaber
Kara Morgan-Short","","https://scispace.com/pdf/differences-in-implicit-vs-explicit-grammar-processing-as-24kdy3cbct.pdf","- **Relevance Score:** 65/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses drift‑diffusion modeling of reaction times to compare implicit vs. explicit grammar learning, providing participant‑level RT analyses. Does not examine abrupt insight moments or employ an SRT design.","Author(s): Abugaber, David; Morgan-Short, Kara | Abstract: Learning new languages is a complex cognitive task involving both implicit and explicit processes. Batterink, Oudiette, Reber, and Paller (2014) report that participants with vs. without conscious awareness of a hidden semi-artificial language regularity showed no significant differences in grammar learning, suggesting that implicit/explicit routes may be functionally equivalent. However, their operationalizing of learning via median reaction times might not capture underlying differences in cognitive processes. In a conceptual replication, we compared rule-aware (n=14) and rule-unaware (n=21) participants via drift-diffusion modeling, which can quantify distinct subcomponents of evidence-accumulation processes (Ratcliff a Rouder, 1998). For both groups, grammar learning was manifested in non-decision parameters, suggesting anticipation of motor responses. For rule-aware participants only, learning also affected bias in evidence accumulation during word reading. These results suggest that implicit grammar learning may be manifested through low-level mechanisms whereas explicit grammar learning may involve more direct engagement with encoded target meanings.","INDIVIDUAL_TRAJECTORIES: Unclear
TRIAL_DATA: Yes
DATA_ACCESS: Figures
SUDDEN_INSIGHT: Unclear
N_PARTICIPANTS: 40
N_TRIALS: 308 experimental trials per block, 2 blocks = 616 experimental trials"
"The role of implicit learning in L2 morphosyntax: an artificial-grammar language learning experiment","https://scispace.com/paper/Ves7UPEs_N4J","","","","Y Yang","","https://ora.ox.ac.uk/objects/uuid:fbad95c8-dee5-4fb4-ace8-5fca013eadf8/files/dvh53ww606","- **Relevance Score:** 65/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses artificial grammar with implicit focus, captures trial‑by‑trial RT/accuracy via SRT, reports individual data but lacks modeling of sudden insight.","","INDIVIDUAL_TRAJECTORIES: Yes
TRIAL_DATA: Yes
DATA_ACCESS: None
SUDDEN_INSIGHT: No
N_PARTICIPANTS: Not available in metadata.
N_TRIALS: Not available in metadata.
PRIORITY: Not available in metadata."
"Modeling Implicit and Explicit Processes in Recursive Sequence Structure Learning","https://scispace.com/paper/modeling-implicit-and-explicit-processes-in-recursive-4jkxrgnf10","2010","","","Jamie Alexandre","","https://scispace.com/pdf/modeling-implicit-and-explicit-processes-in-recursive-4jkxrgnf10.pdf","- **Relevance Score:** 64/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses artificial grammar to probe implicit learning; employs SRT task with trial‑by‑trial RT data; models learning dynamics with a simple recurrent network; individual trajectories are modeled but not emphasized; does not examine abrupt insight or metacognitive reports.","Modeling Implicit and Explicit Processes in Recursive Sequence Structure Learning Jamie D. Alexandre (jdalexan@ucsd.edu) Department of Cognitive Science, 9500 Gilman Drive La Jolla, CA 92093 USA Keywords: artificial grammar learning; syntax; recursion; serial reaction time task; simple recurrent network; context- free grammars; implicit/explicit processes. the class of regular grammars, which doesn’t shed light onto the acquisition or processing of context-free or recursive structure. The goal of the present study is to obtain estimates of a subject’s online string continuation expectancies while responding to sequences generated by a context-free grammar (palindromes), so that these may be compared with the predictions made by a variety of language models trained on the same input history as the subject. The traditional measures of successful acquisition in artificial grammar experiments – such as grammaticality judgments or recall error rates – are not able to provide the incremental (symbol- by-symbol) expectancy data that we require. We adapt a paradigm first employed by Cleeremans & McClelland (1991), known as a serial reaction time task, in which subjects respond to a sequences of stimuli (with a button mapped onto each stimulus class) by pressing the corresponding button as quickly as possible after perceiving stimulus onset. The resulting reaction times are then correlated with the probabilities generated by the competing computational models. Introduction Surprisal Abstract Recursive structure is viewed as a central property of human language, yet the mechanisms that underlie the acquisition and processing of this structure are subject to intense debate. The artificial grammar learning paradigm has shed light onto syntax acquisition, but has rarely been applied to the more complex, context-free grammars that are needed to represent recursive structure. We adapt the artificial grammar serial reaction time task to study the online acquisition of recursion, and compare human performance to the predictions made by a number of computational language models, chosen to reflect multiple levels and types of syntactic complexity (n-grams, hidden markov models, simple recurrent networks, and Bayesian-induced probabilistic context-free grammars). Evidence is found for a dissociation between explicit and implicit mechanisms of sequence processing, with the SRN more highly correlated with implicit performance, and the PCFG more correlated with explicit awareness of the sequential structure. The nature of linguistic structure, and the computational mechanisms by which humans comprehend it, have long been subject to heated debate. Recursion – the ability to hierarchically embed elements within instances of themselves – has been a central point of contention. Although the recursive structure of language was not a new idea at the time, Chomsky formalized the notion of syntactic recursion, touting it as the fundamental property that allows for human linguistic ability, a thesis he continues to popularize today (Chomsky, 1956; Hauser, Chomsky, & Fitch, 2002). In the Chomskyan tradition, the human syntactic system implements a set of rules that allow for theoretically unbounded levels of recursive embedding (“competence”), but this system is then subject to processing constraints, such as working memory limitations, that explain our limited ability to process recursive structures beyond a few levels of embedding (“performance”). Other theorists, particularly from the connectionist camp, have attempted to explain the (limited) human ability to process recursive structure without hypothesizing unbounded competence, by modeling syntactic processing in systems that do not make use of rules or explicit representations (e.g. Elman, 1990; Pollack, 1990; Christiansen & Chater, 1999). The artificial grammar learning paradigm (initiated by Reber, 1967) has been used to examine processes of syntactic acquisition, but this has been largely restricted to Surprisal, or self-information, is a notion from information theory that quantifies the amount of novel information that a particular event carries with it. An event’s surprisal is defined as its negative log probability: –log( P(x | context) ) The concept of surprisal has been used in psycholinguistics as a potential measure of incremental processing difficulty, and is thus expected to correlate with behavioral measures such as reading times in eye-tracking studies, and response times in self-paced reading studies (Hale, 2001; Levy, 2008). The surprisal model requires that we adopt some measure of the probability of a word’s occurrence given the preceding sentential context. Hale (2001) uses a probabilistic Earley parsing algorithm to generate incremental word probabilities, using the resulting surprisal values to explain the garden path effect. Levy (2008) uses a similar model to explain a wide- range of effects found in the psycholinguistic literature, such as predictability (e.g. effect of Cloze probability), locality effects (e.g. preference for local dependencies), competition/dynamical models (e.g. greater ease in highly constrained contexts), the tuning hypothesis (e.g. effect of structural frequency), and connectionist models (e.g. predictions made by an SRN). The case of the SRN is particularly interesting, because there are significant divergences between the predictions made by an SRN and a","INDIVIDUAL_TRAJECTORIES: Yes
TRIAL_DATA: Yes
DATA_ACCESS: None
SUDDEN_INSIGHT: Yes
N_PARTICIPANTS: 8
N_TRIALS: 400
PRIORITY: High"
"Imprints of Dyslexia: Implicit Learning and the Cerebellum","https://scispace.com/paper/imprints-of-dyslexia-implicit-learning-and-the-cerebellum-4m5jk8tiw4","2014","Dissertation","","Nadya Goldberg","","https://scispace.com/pdf/imprints-of-dyslexia-implicit-learning-and-the-cerebellum-4m5jk8tiw4.pdf","- **Relevance Score:** 63/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses AGL with implicit criteria, employs SRT task, measures RT differences trial‑by‑trial, assesses guessing and confidence for insight, but lacks detailed single‑participant trajectory modeling.","Dyslexia, a learning disability affecting reading and spelling, occurs in 3-10% of the general population. For many people diagnosed early in life the symptoms of dyslexia persist into adulthood causing them difficulties with functioning in the modern society so much reliant on the written word. This dissertation assesses the manifestations of developmental dyslexia in behavior, cognition and neuroanatomy as predicted by the procedural deficit hypothesis. According to the theory, a dysfunction in the cortico-cerebellar network responsible for procedural learning in both the motor and the language domains causes impoverished implicit motor and language learning abilities and eventually difficulties with language and motor skills in people with dyslexia. The study described in this dissertation was conducted in a group of adult participants with dyslexia and a group of IQ- and age-matched controls. The general design of the investigation included three parts, the neuropsychological, the cognitive and the neuroanatomical. In the neuropsychological part the language and the motor symptoms of dyslexia were examined. Along with the reading-related problems, difficulties with abilities associated with such functions of the cerebellum as fine motor skills and time estimation abilities in people with dyslexia were discovered. The cognitive part addressed the explicit and implicit learning abilities studied with the help of the artificial language learning and the serial reaction time paradigms. While the explicit learning ability, thought to be dissociated from the implicit learning one, was found to be intact in people with developmental dyslexia, indications of deficient implicit learning abilities in both the motor and the language domains were observed. Both groups of participants showed learning on the implicit motor learning task, with the group of participants with dyslexia being slightly delayed. Learning on the implicit language learning task was observed only in the control group, the group with dyslexia exhibiting chance performance. In the neuroanatomical part the participants’ cerebellar volume and the asymmetry between the cerebellar hemispheres was examined by means of structural MRI. No differences in the volume of the two hemispheres or in the asymmetry between the two hemispheres in the two groups were detected. Importantly, this study examined the three levels, behavior, cognition and neuroanatomy, in the same group of people with dyslexia. While differences between people with and without dyslexia were found in the neuropsychological and the cognitive investigations, they were not detected on the neurological level. The neuroanatomical manifestations of dyslexia might be more obvious in children or in the function of the cerebellum rather than its structure. Further investigations in these directions might appear fruitful.","INDIVIDUAL_TRAJECTORIES: No
TRIAL_DATA: No
DATA_ACCESS: None
SUDDEN_INSIGHT: Unclear
N_PARTICIPANTS: 65 (initial inclusion testing), 55 (explicit learning), 54 (implicit motor learning), 50 (implicit language learning), 51 (cerebellar volume)
N_TRIALS: 7 blocks of 72 elements (explicit learning), 7 blocks (implicit motor learning), 8 blocks of 48 sequences (implicit language learning)
PRIORITY: Low"
"Preserved Implicit Learning on Both the Serial Reaction Time Task and Artificial Grammar in Patients with Parkinson;s Disease","https://scispace.com/paper/preserved-implicit-learning-on-both-the-serial-reaction-time-hubqjtmec7","2001","","","Jared G. Smith
Richard J. Siegert
John McDowall
David Abernethy","","https://scispace.com/pdf/preserved-implicit-learning-on-both-the-serial-reaction-time-hubqjtmec7.pdf","- **Relevance Score:** 60/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses artificial grammar tasks to test implicit learning; employs serial reaction time task with trial‑by‑trial reaction times; does not model individual trajectories or examine sudden insight.","Preserved Implicit Learning on both the Serial Reaction Time Task and Artificial Grammar in Patients with Parkinson’s Disease Jared G. Smith (smithjare@scs.vuw.ac.nz) School of Psychology, Victoria University of Wellington, PO Box 600, Wellington, New Zealand Richard J. Siegert (Richard.Siegert@vuw.ac.nz) School of Psychology, Victoria University of Wellington, PO Box 600, Wellington, New Zealand John McDowall (john.mcdowall@vuw.ac.nz) School of Psychology, Victoria University of Wellington, PO Box 600, Wellington, New Zealand David Abernethy (david.abernethy@clear.net.nz) Wellington School of Medicine, University of Otago, PO Box 600, Wellington, New Zealand Abstract Thirteen non-demented patients with Parkinson’s disease (PD) were compared with age matched controls on two standard tests of implicit learning. A verbal version of the Serial Reaction Time (SRT) task was used to assess sequence learning and an artificial grammar (AG) task assessed perceptual learning. It was predicted that PD patients would show implicit learning on the AG task but not the SRT task, as motor sequence learning is thought to be reliant upon the basal ganglia which is damaged in PD. Patients with PD demonstrated implicit learning on both tasks. In light of these unexpected results the research on SRT learning in PD is reconsidered, and some possible explanations for the sometimes conflicting results of PD patient samples on the SRT task are considered. Factors which merit further study in this regard are: The degree to which the SRT task relies on overt motor responses; the effects of frontal lobe dysfunction upon implicit sequence learning; and the degree to which the illness itself has advanced. Current theoretical accounts of human memory draw an important distinction between implicit and explicit learning processes (e.g., Squire, 1994; Squire & Zola, 1996). Explicit (or declarative) learning and memory is characterized by the acquisition and retrieval of information accompanied by awareness of the learned information and its influence. Implicit learning refers to similar acquisition without awareness of the learned information or its influence. Such learning occurs in situations and tasks whereby the ability to consciously or deliberately recall the episode in which learning took place, or to describe the rules underlying the task, typically fall well behind the level of performance. It is thought that explicit learning is dependent upon medial temporal lobe and diencephalic brain structures, while habit learning and implicit skill learning is closely associated with neostriatal structures such as the basal ganglia (Squire, 1994; Squire & Zola, 1996). One striking characteristic of implicit learning has been its demonstrable robustness even in the face of quite major brain damage. For example, using the serial reaction time (SRT) task researchers have shown implicit learning to be preserved in normal ageing (Howard & Howard, 1989), Korsakoff patients (Nissen & Bullemer, 1987), closed head injury patients (McDowall & Martin, 1996) and Alzheimer’s disease (Knopman & Nissen, 1987). However, the fact that the very brain structures thought to be closely associated with certain forms of implicit learning are the most impaired by Parkinson’s disease (PD), makes PD of special interest for implicit learning researchers. The characteristic neuropathology of PD includes marked degeneration and atrophy of the basal ganglia and substantia nigra, particularly the caudate nucleus or the neostriatum (Knight, 1992). In the present study we were interested to compare the performance of PD patients with controls on two tests of implicit learning: the serial reaction time (SRT) task and the artificial grammar (AG) task. In the SRT task participants respond as quickly as possible to the presentation of an asterisk on a computer monitor. The asterisk can appear at any one of several different locations and participants must respond by pressing a key which corresponds to the spatial location of the asterisk. Unknown to the participants, the location of the stimulus follows a sequence which is repeated over a number of trials. Sequence learning is assumed to occur when, over the course of successive trials, the reaction times (RT) of participants decrease significantly and when there is a significant increase in the RT of participants upon the","INDIVIDUAL_TRAJECTORIES: No
TRIAL_DATA: No
DATA_ACCESS: Figures
SUDDEN_INSIGHT: No
N_PARTICIPANTS: 13 PD, 14 Controls (SRT); 14 PD, 14 Controls (AG)
N_TRIALS: 500 (SRT); 23 training, 23 test (AG)
PRIORITY: High"
