"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Data Availability Assessment","Data Characteristics and Availability","Statistical Methods for Transitions"
"Effect of unconditioned stimulus magnitude on the emergence of conditioned responding.","https://scispace.com/paper/effect-of-unconditioned-stimulus-magnitude-on-the-emergence-2rnsmy8phw","2006","Journal Article","Journal of Experimental Psychology: Animal Behavior Processes","Richard W. Morris
Mark E. Bouton","10.1037/0097-7403.32.4.371","","- **Relevance Score:** 100/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses trial‑by‑trial rat conditioning data; identifies abrupt response onset via quantitative change‑point analysis; directly tests step‑like learning transitions; cites Gallistel on abrupt learning.","Although unconditioned stimulus (US) magnitude influences conditioning, no experiment has addressed whether it influences a decision point at which the organism first responds (Gallistel & Gibbon, 2000). Two appetitive conditioning experiments with rats confirmed that the rate of food cup entries and proportion of head jerking were related to the number of pellets (US) provided after the conditioned stimulus. In addition, the onset of responding measured by the number of reinforcers to a criterion or by a quantitatively identified change point also reflected US magnitude. Two aversive conditioning experiments also found that the amount and onset of freezing were related to footshock intensity. All experiments identified a trial at which responding increased abruptly in individual subjects. However, the point where the increase occurred was earlier with larger USs.","INDIVIDUAL_CURVES: Yes
TRIAL_BY_TRIAL: Yes
DATA_ACCESS: None
CHANGEPOINT_ANALYSIS: Yes
N_INDIVIDUALS: Not available in metadata.
N_TIMEPOINTS: Not available in metadata.
PRIORITY: Not available in metadata.","The paper states that ""All experiments identified a trial at which responding increased abruptly in individual subjects,"" indicating individual-level data. The number of subjects, trials, and temporal resolution are ""Not specified."" Data availability is ""Not specified."" The mention of ""a trial at which responding increased abruptly in individual subjects"" suggests trial-by-trial data was analyzed, but it's ""Not specified"" if it's presented.","The paper identified a trial at which responding increased abruptly in individual subjects, and the onset of responding was measured by a quantitatively identified change point. This indicates the use of changepoint detection."
"Bayesian methods for addressing long-standing problems in associative learning: The case of PREE","https://scispace.com/paper/bayesian-methods-for-addressing-long-standing-problems-in-l6bip3s834","2018","Journal Article","Quarterly Journal of Experimental Psychology","Fernando Blanco
Joaquín Morís","10.1080/17470218.2017.1358292","","- **Relevance Score:** 95/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Bayesian change‑point model to estimate individual switch moments in a PREE conditioning task, directly testing abrupt, step‑like transitions in animal learning.","Most associative models typically assume that learning can be understood as a gradual change in associative strength that captures the situation into one single parameter, or representational state. We will call this view single-state learning. However, there is ample evidence showing that under many circumstances different relationships that share features can be learned independently, and animals can quickly switch between expressing one or another. We will call this multiple-state learning. Theoretically, it is understudied because it needs a different data analysis approach from those usually employed. In this article, we present a Bayesian model of the Partial Reinforcement Extinction Effect (PREE) that can test the predictions of the multiple-state view. This implies estimating the moment of change in the responses (from the acquisition to the extinction performance), both at the individual and group levels. We used this model to analyze data from a PREE experiment with three levels of reinforcement during acquisition (100%, 75% and 50%). We found differences in the estimated moment of switch between states during extinction, so that it was delayed after leaner partial reinforcement schedules. The finding is compatible with the multiple-state view. It is the first time, to our knowledge, that the predictions from the multiple-state view are tested directly. The article also aims to show the benefits that Bayesian methods can bring to the associative learning field.","INDIVIDUAL_CURVES: Yes
TRIAL_BY_TRIAL: Unclear
DATA_ACCESS: None
CHANGEPOINT_ANALYSIS: Yes
N_INDIVIDUALS: Unclear
N_TIMEPOINTS: Unclear
PRIORITY: Not available in metadata.","The paper presents a Bayesian model to estimate the moment of change in responses at both individual and group levels. It analyzed data from a PREE experiment with three levels of reinforcement (100%, 75%, 50%). The number of individuals/subjects, trials, or temporal resolution is not specified. Data availability for raw data, supplementary files, or digitizable figures is not mentioned in the metadata. Whether trial-by-trial data is presented is also not specified.","Yes, the paper uses Bayesian methods. It presents a Bayesian model of the Partial Reinforcement Extinction Effect (PREE) to test predictions of the multiple-state view, which involves estimating the moment of change in responses (from acquisition to extinction performance) at individual and group levels."
"Deconstructing the law of effect","https://scispace.com/paper/deconstructing-the-law-of-effect-5767p1o6j8","2005","Journal Article","Games and Economic Behavior","Charles R. Gallistel","10.1016/J.GEB.2004.06.012","https://www.academia.edu/download/72397120/DeconLawEffect.pdf","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses rat trial‑by‑trial data, models sudden step‑like learning, applies mode‑of‑density change‑point detection; involves rat learning but not a classic conditioning task.","","INDIVIDUAL_CURVES: Unclear
TRIAL_BY_TRIAL: Yes
DATA_ACCESS: None
CHANGEPOINT_ANALYSIS: Yes
N_INDIVIDUALS: Unclear
N_TIMEPOINTS: Unclear
PRIORITY: High","The paper uses rat trial-by-trial data and models sudden step-like learning. It applies mode-of-density change-point detection. Individual-level learning curves are implied by ""rat trial-by-trial data"" and ""behavioral change point"". The number of individuals/subjects and trials or temporal resolution are not specified. Data availability is not specified. Trial-by-trial data presentation is implied by the methodology.","The paper uses change-point detection methodology, specifically applying the mode-of-density change-point detection for sudden step-like learning. It models abrupt transitions in learning curves using rat trial-by-trial data."
"The acquisition of conditioned responding.","https://scispace.com/paper/the-acquisition-of-conditioned-responding-4yoif5fddc","2011","Journal Article","Journal of Experimental Psychology: Animal Behavior Processes","Justin A. Harris","10.1037/A0021883","https://scispace.com/pdf/the-acquisition-of-conditioned-responding-4yoif5fddc.pdf","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses trial‑by‑trial rat data, fits Weibull to capture step‑like acquisition, compares abrupt vs. incremental models, but relies on curve fitting rather than dedicated change‑point algorithms.","This report analyzes the acquisition of conditioned responses in rats trained in a magazine approach paradigm. Following the suggestion by Gallistel, Fairhurst, and Balsam (2004), Weibull functions were fitted to the trial-by-trial response rates of individual rats. These showed that the emergence of responding was often delayed, after which the response rate would increase relatively gradually across trials. The fit of the Weibull function to the behavioral data of each rat was equaled by that of a cumulative exponential function incorporating a response threshold. Thus, the growth in conditioning strength on each trial can be modeled by the derivative of the exponential--a difference term of the form used in many models of associative learning (e.g., Rescorla & Wagner, 1972). Further analyses, comparing the acquisition of responding with a continuously reinforced stimulus (CRf) and a partially reinforced stimulus (PRf), provided further evidence in support of the difference term. In conclusion, the results are consistent with conventional models that describe learning as the growth of associative strength, incremented on each trial by an error-correction process.","INDIVIDUAL_CURVES: Yes
TRIAL_BY_TRIAL: Yes
DATA_ACCESS: Figures
CHANGEPOINT_ANALYSIS: Yes
N_INDIVIDUALS: 23 (Experiment 1), 17 (Experiment 2)
N_TIMEPOINTS: 360 (Experiment 1), 900 (Experiment 2)
PRIORITY: High","The paper reports individual-level learning curves for rats.
-   **Number of individuals/subjects:** Experiment 1 studied 23 rats (analysis for 22); Experiment 2 studied 17 rats.
-   **Number of trials or temporal resolution:** Experiment 1 involved 360 trials over 18 days; Experiment 2 involved 30 days of conditioning with 30-s presentations.
-   **Data availability:** Not specified (no mention of raw data repository, supplementary files, or digitizable figures).
-   **Trial-by-trial data presentation:** Figures 2 and 3 show trial-by-trial elevation scores and fitted Weibull functions for individual rats.","The paper uses a changepoint analysis algorithm proposed by Gallistel et al. (2004) to identify a single ""principal"" change point in individual rats' response records, which reflects the trial with the most abrupt change in response rate. This method helps quantify sudden versus gradual learning. Bayesian Information Criterion (BIC) scores are also used to compare model fits."
"Conditioning from an information processing perspective","https://scispace.com/paper/conditioning-from-an-information-processing-perspective-strnwenp67","2003","Journal Article","Behavioural Processes","Charles R. Gallistel","10.1016/S0376-6357(03)00019-6","https://ruccs.rutgers.edu/images/personal-rochel-gelman/publications/Cond%20from%20Info%20Proc%20Persp.pdf","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses trial‑by‑trial animal data, models sudden step‑like learning, discusses detection of onset, and employs classic conditioning tasks.","","INDIVIDUAL_CURVES: Yes
TRIAL_BY_TRIAL: Yes
DATA_ACCESS: Figures
CHANGEPOINT_ANALYSIS: Yes
N_INDIVIDUALS: Unclear
N_TIMEPOINTS: Unclear
PRIORITY: High","The paper uses trial-by-trial animal data and discusses individual events. It mentions a cumulative record of the first 10. Individual-level learning curves are implied by ""Individual trial-by-trial learning curves"" being ""Perfectly Relevant."" The number of individuals/subjects and specific temporal resolution beyond ""first 10"" are not specified. Data availability is not specified, but digitizable figures are not mentioned. Trial-by-trial data is presented.","The paper's relevance metadata indicates ""Abrupt transition / step-function modeling"" is perfectly relevant, and the snippet mentions ""representation of a step function."" It also notes ""Change-point detection methodology"" as somewhat relevant. The metadata suggests the paper uses step function models and touches upon change-point detection."
"An ensemble code in medial prefrontal cortex links prior events to outcomes during learning","https://scispace.com/paper/an-ensemble-code-in-medial-prefrontal-cortex-links-prior-dhokiv5ex2","2018","Journal Article","Nature Communications","Silvia Maggi
Silvia Maggi
Adrien Peyrache
Mark D. Humphries
Mark D. Humphries","10.1038/S41467-018-04638-2","https://scispace.com/pdf/an-ensemble-code-in-medial-prefrontal-cortex-links-prior-dhokiv5ex2.pdf","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses trial‑by‑trial performance to locate a steep inflection point via piecewise linear regression, effectively modeling a sudden learning step; task is spatial maze learning, not classical conditioning.","The prefrontal cortex is implicated in learning the rules of an environment through trial and error. But it is unclear how such learning is related to the prefrontal cortex’s role in short-term memory. Here we ask if the encoding of short-term memory in prefrontal cortex is used by rats learning decision rules in a Y-maze task. We find that a similar pattern of neural ensemble activity is selectively recalled after reinforcement for a correct decision. This reinforcement-selective recall only reliably occurs immediately before the abrupt behavioural transitions indicating successful learning of the current rule, and fades quickly thereafter. We could simultaneously decode multiple, retrospective task events from the ensemble activity, suggesting the recalled ensemble activity has multiplexed encoding of prior events. Our results suggest that successful trial-and-error learning is dependent on reinforcement tagging the relevant features of the environment to maintain in prefrontal cortex short-term memory.","INDIVIDUAL_CURVES: Yes | TRIAL_BY_TRIAL: Yes | DATA_ACCESS: Repository | CHANGEPOINT_ANALYSIS: Yes | N_INDIVIDUALS: 4 | N_TIMEPOINTS: 50 sessions | PRIORITY: High","- The paper reports individual-level learning curves (Fig. 1c, left panel shows one example learning session) and states that 10 learning sessions showed an abrupt transition in performance.
- Four rats were studied.
- The temporal resolution for spike recordings was 0.1 ms, and position tracking was at 30 Hz.
- Data is available in CRCNS.org (https://doi.org/10.6080/K0KH0KH5), and code is on GitHub.
- Trial-by-trial data is presented in figures like Fig. 1b showing population activity during inter-trial intervals.","The paper identifies abrupt transitions in behavioral performance by fitting a piecewise linear regression model to the cumulative reward curve, finding the trial with the maximum increase in slope. It also uses a Kolmogorov-Smirnov test to detect significant differences in recall values. These are standard statistical methods."
"Bayesian change-point analysis reveals developmental change in a classic theory of mind task.","https://scispace.com/paper/bayesian-change-point-analysis-reveals-developmental-change-56hrw1q8mj","2016","Journal Article","Cognitive Psychology","Sara T. Baker
Alan M. Leslie
Cr R. Gallistel
Bruce M. Hood","10.1016/J.COGPSYCH.2016.08.001","https://research-information.bris.ac.uk/files/108427199/1_s2.0_S0010028515300621_main.pdf","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Bayesian change‑point analysis on individual children’s trial‑by‑trial Theory‑of‑Mind data, modeling sudden step‑like improvements; cites Gallistel; lacks animal conditioning, simulations, and explicit gradual‑model comparison.","","INDIVIDUAL_CURVES: Yes
TRIAL_BY_TRIAL: Unclear
DATA_ACCESS: Unclear
CHANGEPOINT_ANALYSIS: Yes
N_INDIVIDUALS: Unclear
N_TIMEPOINTS: Unclear
PRIORITY: Unclear","The paper's tldr mentions ""individual longitudinal cumulative records,"" suggesting individual-level data, but does not specify if these are learning curves. The number of individuals/subjects, trials, and temporal resolution are not specified. Data availability is not explicitly mentioned beyond the full-text URL. Whether trial-by-trial data is presented is also not specified.","Yes, the paper uses advanced statistical methods. It employs a novel Bayesian change-point analysis to determine the presence and absence of change in individual longitudinal cumulative records, shedding light on developmental studies."
"NMDA receptor-dependent plasticity in the nucleus accumbens connects reward-predictive cues to approach responses","https://scispace.com/paper/nmda-receptor-dependent-plasticity-in-the-nucleus-accumbens-21m48xh33h","2019","Journal Article","Nature Communications","Mercedes Vega-Villar
Mercedes Vega-Villar
Jon C. Horvitz
Saleem M. Nicola","10.1038/S41467-019-12387-Z","https://scispace.com/pdf/nmda-receptor-dependent-plasticity-in-the-nucleus-accumbens-21m48xh33h.pdf","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses per‑rat cumulative trial data, applies Gallistel change‑point algorithm to detect abrupt learning onset in a rat cue‑reward conditioning task.","Learning associations between environmental cues and rewards is a fundamental adaptive function. Via such learning, reward-predictive cues come to activate approach to locations where reward is available. The nucleus accumbens (NAc) is essential for cued approach behavior in trained subjects, and cue-evoked excitations in NAc neurons are critical for the expression of this behavior. Excitatory synapses within the NAc undergo synaptic plasticity that presumably contributes to cued approach acquisition, but a direct link between synaptic plasticity within the NAc and the development of cue-evoked neural activity during learning has not been established. Here we show that, with repeated cue-reward pairings, cue-evoked excitations in the NAc emerge and grow in the trials prior to the detectable expression of cued approach behavior. We demonstrate that the growth of these signals requires NMDA receptor-dependent plasticity within the NAc, revealing a neural mechanism by which the NAc participates in learning of conditioned reward-seeking behaviors.","INDIVIDUAL_CURVES: Yes
TRIAL_BY_TRIAL: Yes
DATA_ACCESS: Repository
CHANGEPOINT_ANALYSIS: Yes
N_INDIVIDUALS: 58
N_TIMEPOINTS: Not addressed in this paper.
PRIORITY: High","The paper reports individual-level learning curves for performance index (Fig. 1c, d) and neural activity (Supplementary Fig. 3). A total of 58 male Long-Evans rats were used across experiments. Training sessions consisted of 40 S+ and 40 S- trials, with data analyzed in 5-trial or 40-trial bins. Timestamps for task-related events were recorded with 1 ms resolution. The datasets supporting the findings are available from the corresponding author upon request. Custom code is publicly available on GitHub. Trial-by-trial data is presented in figures like Fig. 1c, d and Fig. 5c.","The paper uses a method based on Gallistel et al. (2004) to identify abrupt transitions, referred to as ""change points"" (CP), in cumulative performance index records. This recursive algorithm detects discrete changes in the slope of the line, indicating the first trial with consistent cued approach behavior. It quantifies the significance of these putative CPs."
"The pigeon as particle filter","https://scispace.com/paper/the-pigeon-as-particle-filter-1p1knanf5q","2007","Proceedings Article","Neural Information Processing Systems","Nathaniel D. Daw
Aaron Courville","","","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses pigeon conditioning data to model abrupt, step‑like learning at the individual trial level; particle‑filter approach captures sudden transitions, though no explicit change‑point detector is employed.","Although theorists have interpreted classical conditioning as a laboratory model of Bayesian belief updating, a recent reanalysis showed that the key features that theoretical models capture about learning are artifacts of averaging over subjects. Rather than learning smoothly to asymptote (reflecting, according to Bayesian models, the gradual tradeoff from prior to posterior as data accumulate), subjects learn suddenly and their predictions fluctuate perpetually. We suggest that abrupt and unstable learning can be modeled by assuming subjects are conducting inference using sequential Monte Carlo sampling with a small number of samples — one, in our simulations. Ensemble behavior resembles exact Bayesian models since, as in particle filters, it averages over many samples. Further, the model is capable of exhibiting sophisticated behaviors like retrospective revaluation at the ensemble level, even given minimally sophisticated individuals that do not track uncertainty in their beliefs over trials.","INDIVIDUAL_CURVES: No
TRIAL_BY_TRIAL: No
DATA_ACCESS: None
CHANGEPOINT_ANALYSIS: No
N_INDIVIDUALS: Not available in metadata.
N_TIMEPOINTS: Not available in metadata.
PRIORITY: Not available in metadata.","The paper states that key features are ""artifacts of averaging over subjects"" and that subjects learn suddenly with perpetually fluctuating predictions. It suggests modeling this with sequential Monte Carlo sampling with a small number of samples, one in their simulations. The number of individuals/subjects, trials, temporal resolution, and whether trial-by-trial data is presented are not specified. Data availability is also not specified.","The paper suggests that abrupt and unstable learning can be modeled by assuming subjects are conducting inference using sequential Monte Carlo sampling with a small number of samples, specifically one in their simulations. It does not explicitly mention changepoint detection, Bayesian methods for detecting discontinuities, or step function models."
"A cross-species assessment of behavioral flexibility in compulsive disorders.","https://scispace.com/paper/a-cross-species-assessment-of-behavioral-flexibility-in-1cewm8ny4v","2021","Journal Article","","Nabil Benzina
K. N’Diaye
Antoine Pelissolo
Antoine Pelissolo
Luc Mallet
Luc Mallet
Eric Burguière","10.1038/S42003-020-01611-Y","https://scispace.com/pdf/a-cross-species-assessment-of-behavioral-flexibility-in-1cewm8ny4v.pdf","- **Relevance Score:** 78/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses trial‑by‑trial mouse reversal data; detects sudden performance shift via change‑point analysis; employs Gallistel algorithm; no classical conditioning tasks; cites Gallistel but lacks model comparisons or simulations.","Lack of behavioral flexibility has been proposed as one underlying cause of compulsions, defined as repetitive behaviors performed through rigid rituals. However, experimental evidence has proven inconsistent across human and animal models of compulsive-like behavior. In the present study, applying a similarly-designed reversal learning task in two different species, which share a common symptom of compulsivity (human OCD patients and Sapap3 KO mice), we found no consistent link between compulsive behaviors and lack of behavioral flexibility. However, we showed that a distinct subgroup of compulsive individuals of both species exhibit a behavioral flexibility deficit in reversal learning. This deficit was not due to perseverative, rigid behaviors as commonly hypothesized, but rather due to an increase in response lability. These cross-species results highlight the necessity to consider the heterogeneity of cognitive deficits in compulsive disorders and call for reconsidering the role of behavioral flexibility in the aetiology of compulsive behaviors. Nabil Benzina et al. use a reversal learning task to examine behavioral flexibility in human and mouse models of obsessive compulsive disorder (OCD). They report that only subsets of human patients or OCD-like mice show deficits in behavioral flexibility, highlighting the diverse presentation of cognitive deficits in compulsive disorders.","INDIVIDUAL_CURVES: Yes
TRIAL_BY_TRIAL: Yes
DATA_ACCESS: Supplementary/Repository
CHANGEPOINT_ANALYSIS: Yes
N_INDIVIDUALS: 52 (mice), 80 (humans)
N_TIMEPOINTS: Not addressed in this paper.
PRIORITY: High","The paper reports individual performance data for mice, smoothed over a 40-trial sliding window, and shows individual means for humans and mice in some figures. It studied 40 human OCD patients, 40 healthy subjects, 26 Sapap3 KO mice, and 26 WT mice. The reversal learning task for humans involved 10 trials around reversal, and for mice, 100 trials around reversal, with up to 1800 trials shown in an example. Raw data is available from the corresponding author upon reasonable request, and source data for main figures is provided in Supplementary data 1-4. Trial-by-trial data is not explicitly presented, but cumulative records are mentioned for change point analysis.","The paper uses changepoint analysis to detect abrupt transitions in learning, specifically on the cumulative record of correct responses for mice. This method identifies significant variations in the slope of the cumulative record, marking changes in performance. A recursive algorithm based on Gallistel et al. was used for this purpose."
