"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Data Availability Assessment"
"Testing theories of the vocabulary spurt with monolingual and bilingual infants.","https://scispace.com/paper/testing-theories-of-the-vocabulary-spurt-with-monolingual-39usdbq9c3","2024","Journal Article","Developmental Psychology","Miranda Gómez Díaz
NULL AUTHOR_ID
Rachel Ka Ying Tsui
NULL AUTHOR_ID","10.1037/dev0001777","","- **Relevance Score:** 77/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Provides dense individual trajectories, focuses on spurt, reports variability, compares accumulator models, includes bilingual data, and offers theoretical insights, though step‑vs‑gradual model testing is limited.","Sometime before their second birthday, many children have a period of rapid expressive vocabulary growth called the vocabulary spurt. Theories of the underlying mechanisms differ: Accumulator models emphasize the accumulation of experience with words over time to yield a spurtlike pattern, while cognitive models attribute the spurt to cognitive changes. To test these theories, English-French monolingual and bilingual children with different exposure to each language were studied. Dense, longitudinal data were analyzed from 45 infants aged 16-30 months, whose expressive vocabulary was measured on a total of 617 occasions in English and/or French. Single-language (English and/or French), concept (number of concepts lexicalized across both languages), and word (sum of both languages) vocabulary scores were computed. Infants' exposure to each language and their exposure balance were measured using a language exposure questionnaire. Logistic curves were fitted to each infant's data to estimate the timing (midpoint) and steepness (slope) of the vocabulary spurt in single-language, concept, and word vocabularies. Seventy-six percent of infants showed a spurt in at least one vocabulary type, and bilinguals were less likely to show one in their nondominant than their dominant language. For single-language vocabulary, infants with more exposure to a language had earlier spurts. For combined vocabularies (concept and word), monolinguals and unbalanced bilinguals had earlier and steeper spurts than balanced bilinguals. Results better support the predictions of accumulator models than cognitive theories and show that infants follow different vocabulary acquisition trajectories based on their language background. (PsycInfo Database Record (c) 2024 APA, all rights reserved). ","INDIVIDUAL_CHILDREN: Yes
LONGITUDINAL_DATA: Yes
DATA_ACCESS: None
VOCABULARY_SPURT: Yes
N_CHILDREN: 45
N_TIMEPOINTS: 617
PRIORITY: High"
"A Fresh Look at Vocabulary Spurts","https://scispace.com/paper/a-fresh-look-at-vocabulary-spurts-570vtl1i0e","2011","Journal Article","Cognitive Science","Frédéric Dandurand
Thomas R. Shultz","","https://escholarship.org/content/qt36f265q7/qt36f265q7.pdf?t=op2k07","- **Relevance Score:** 76/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses detailed individual trajectories and spurt detection; highlights variability across children; lacks explicit step‑vs‑gradual model comparison and broader theory or cross‑linguistic evidence.","","INDIVIDUAL_CHILDREN: Unclear
LONGITUDINAL_DATA: Unclear
DATA_ACCESS: None
VOCABULARY_SPURT: Yes
N_CHILDREN: Unclear
N_TIMEPOINTS: Unclear
PRIORITY: Low"
"Early lexical acquisition: rate, content, and the vocabulary spurt.","https://scispace.com/paper/early-lexical-acquisition-rate-content-and-the-vocabulary-5flexx5291","1990","Journal Article","Journal of Child Language","Beverly A. Goldfield
J. Steven Reznick","10.1017/S0305000900013167","","- **Relevance Score:** 71/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses 2.5‑week diaries to track each child’s word growth, directly examines spurt vs. gradual patterns, reports timing/magnitude variability, offers modest theoretical discussion, lacks formal modeling or cross‑linguistic data.","The transition from slow to rapid word-learning was examined in a longitudinal study of 18 children. Beginning at age 1.2, mothers kept a diary of children's words. Diary entries were discussed during phone calls to the home every 2 1/2 weeks. A chronological record of nouns and other word classes was coded from the diary records. Thirteen children evidenced a prolonged period of up to three months during which rate of acquisition markedly increased. Almost three-quarters of the words learned during this period were nouns. Five children evidenced more gradual word-learning, and acquired a balance of nouns and other word classes. These results suggest that the terms 'vocabulary spurt' and 'naming explosion' best describe children who focus their early linguistic efforts on a single strategy: learning names for things. Other children may attempt to encode a broad range of experience with a more varied lexicon, a strategy that results in more gradual lexical growth.","INDIVIDUAL_CHILDREN: Yes
LONGITUDINAL_DATA: Yes
DATA_ACCESS: None
VOCABULARY_SPURT: Yes
N_CHILDREN: 18
N_TIMEPOINTS: Unclear
PRIORITY: High"
"Investigating the Vocabulary Spurt in Bilingual and Monolingual Infants","https://scispace.com/paper/xj6fYl-N_nYJ","","","","M Gómez Díaz","","https://spectrum.library.concordia.ca/id/eprint/993868/1/GomezDiaz_MA_F2024.pdf","- **Relevance Score:** 64/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses dense longitudinal data from monolingual and bilingual infants to examine vocabulary spurt timing and variability; compares spurt patterns qualitatively, discusses theory, and includes bilingual cross‑linguistic evidence.","","INDIVIDUAL_CHILDREN: Yes
LONGITUDINAL_DATA: Yes
DATA_ACCESS: None
VOCABULARY_SPURT: Yes
N_CHILDREN: Unclear
N_TIMEPOINTS: Unclear
PRIORITY: High"
"Reexamining the vocabulary spurt.","https://scispace.com/paper/reexamining-the-vocabulary-spurt-1zrvt0pzr3","2004","Journal Article","Developmental Psychology","Jennifer Ganger
Michael R. Brent","10.1037/0012-1649.40.4.621","https://scispace.com/pdf/reexamining-the-vocabulary-spurt-1zrvt0pzr3.pdf","- **Relevance Score:** 63/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses twin diaries to track each child's word list weekly, examines spurt timing with step‑function vs. gradual models, reports variability across children, offers modest theoretical discussion, lacks computational modeling and cross‑linguistic data.","The authors asked whether there is evidence to support the existence of the vocabulary spurt, an increase in the rate of word learning that is thought to occur during the 2nd year of life. Using longitudinal data from 38 children, they modeled the rate of word learning with two functions, one with an inflection point (logistic), which would indicate a spurt, and one without an inflection point (quadratic). Comparing the fits of these two functions using likelihood ratios, they found that just 5 children had a better logistic fit, which indicated that these children underwent a spurt. The implications for theories of cognitive and language development are considered.","INDIVIDUAL_CHILDREN: Yes
LONGITUDINAL_DATA: Yes
DATA_ACCESS: Figures
VOCABULARY_SPURT: Yes
N_CHILDREN: 38
N_TIMEPOINTS: Not addressed in this paper.
PRIORITY: High"
"Das Lexikon im Spracherwerb","https://scispace.com/paper/das-lexikon-im-spracherwerb-3m6kiv7ir4","1999","Book","","Jörg Meibauer
Monika Rothweiler","","https://scispace.com/pdf/das-lexikon-im-spracherwerb-3m6kiv7ir4.pdf","- **Relevance Score:** 53/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses a German child's diary to track vocabulary growth, linking spurt to phonological advances; focuses on spurt phenomenon and theory, but lacks model comparison, individual‑difference analysis, computational modeling, and cross‑linguistic data.","Die vorliegende Untersuchung fußt auf Daten einer Tagebuchstudie eines deutschsprachigen Kindes . E s w i rd gezeigt, daß der beobachtete plötzliche Vokabelanstieg (vocabulary spurt) im Alter v on E n d e 1;2 zumindest teilweise durch Fortschritte i n Phonetik und Phonologie verursacht wurde , da zeitgleich Verbesserungen i m Lautsystem auftraten, die zu einer deut l icheren Aussprache vieler Lexeme führten, zur Aufgabe v o n vereinfachten Ersatzformen, Aufspal tung v o n H o m o n y m e n u n d Au fnahme neuer Wörter ins Lex ikon . Weiterhin s ind kognitive Veränderungen anzunehmen , da der Hauptteil der n e u e n Wörter aus Nomen bestand, sowie systembedingte Faktoren . E s gibt damit Verbindungen zwischen kognitiver, phonologischer u n d lexikal ischer Entw ick lung . Diese Beobachtungen geben Anlaß dazu, die Tatsache, daß verschiedene sprachliche u n d nichtsprachliche Bereiche be im Spracherwerb zusammenwi rken , nicht als R a n d erscheinung, sondern als grundlegend aufzufassen. Variation u n d Interakt ion zwischen sprachlichen E b e n e n we rden mit der Vorstellung, Informationsverarbeitung geschehe netzwerkartig, erklärt.","INDIVIDUAL_CHILDREN: Unclear
LONGITUDINAL_DATA: Unclear
DATA_ACCESS: None
VOCABULARY_SPURT: Unclear
N_CHILDREN: Unclear
N_TIMEPOINTS: Unclear
PRIORITY: Low"
"An examination of growth in vocabulary and phonological awareness in early childhood: An individual growth model approach","https://scispace.com/paper/an-examination-of-growth-in-vocabulary-and-phonological-ag3idh8g79","2013","Dissertation","","Christina Marie Cassano","","","- **Relevance Score:** 52/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses individual growth models on 12‑18 month vocab data; fits step and gradual curves; reports timing/magnitude variability; limited spurt framing, no theory, modeling, or cross‑linguistic work.","","INDIVIDUAL_CHILDREN: Yes
LONGITUDINAL_DATA: Yes
DATA_ACCESS: None
VOCABULARY_SPURT: Yes
N_CHILDREN: Unclear
N_TIMEPOINTS: Unclear
PRIORITY: Not available in metadata."
"Early lexical acquisition and the vocabulary spurt: a response to Goldfield & Reznick*","https://scispace.com/paper/early-lexical-acquisition-and-the-vocabulary-spurt-a-1zgkxwrcyu","1995","Journal Article","Journal of Child Language","Carolyn B. Mervis
Jacqueline Bertrand","10.1017/S0305000900009880","","- **Relevance Score:** 46/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses longitudinal case studies of three children to document spurt onset and individual variability; directly examines naming explosion; lacks formal model fitting or cross‑linguistic comparison.","Vocabulary development of three children (aged 1;6-1;8 at the start of the study) who had not begun to evidence a vocabulary spurt even though their productive vocabularies already included well over 50 words was followed to determine if these children eventually would have a vocabulary spurt. All three children evidenced a spurt, beginning at a mean productive vocabulary size of 112 words. The vocabulary spurt occurred at about the same time as the children first demonstrated the ability to sort objects exhaustively and to fast map new object names. Results are discussed in the context of Goldfield & Reznick's (1990; Reznick & Goldfield, 1992) argument that a substantial proportion of children never evidence a vocabulary spurt.","INDIVIDUAL_CHILDREN: Yes
LONGITUDINAL_DATA: Yes
DATA_ACCESS: None
VOCABULARY_SPURT: Yes
N_CHILDREN: 3
N_TIMEPOINTS: Unclear
PRIORITY: Medium"
"Dynamic self‐organization and early lexical development in children","https://scispace.com/paper/dynamic-self-organization-and-early-lexical-development-in-1s59jt4l1p","2007","Journal Article","Cognitive Science","Ping Li
Xiaowei Zhao
Brian Mac Whinney","10.1080/15326900701399905","https://onlinelibrary.wiley.com/doi/pdf/10.1080/15326900701399905","- **Relevance Score:** 43/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses computational model to simulate spurt, discusses mechanisms, reports individual variability; lacks fine‑grained longitudinal time series and explicit step‑vs‑gradual model comparison; no cross‑linguistic data.","","INDIVIDUAL_CHILDREN: No
LONGITUDINAL_DATA: No
DATA_ACCESS: None
VOCABULARY_SPURT: Yes
N_CHILDREN: Not available in metadata.
N_TIMEPOINTS: Not available in metadata.
PRIORITY: Not available in metadata."
"Vocabulary Development in Italian Children: A Longitudinal Evaluation of Quantitative and Qualitative Aspects.","https://scispace.com/paper/vocabulary-development-in-italian-children-a-longitudinal-4bpab56hys","2001","Journal Article","Journal of Child Language","Laura D'Odorico
Stefania Carubbi
Nicoletta Salerni
Vincenzo Calvo","10.1017/S0305000901004676","","- **Relevance Score:** 38/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses monthly CDI to track each child, confirms spurt occurrence, notes timing variability, discusses referential‑expressive theory, but lacks fine‑grained sampling, formal model comparison, and new cross‑linguistic data.","In this study vocabulary development of a sample of 42 Italian children was evaluated through monthly administration of the Italian version of the CDI. Data collection started at 1;0-1;1 for 32 children and at 1;3-1;4 for the remaining subjects and continued until children's vocabulary reached 200 words. At fixed stages of vocabulary size (50, 100 and 200 words), individual differences in percentile scores and vocabulary composition were examined. Individual growth curves were analysed in order to verify the presence of a vocabulary spurt and the type of lexical items which contributed most to rapid acceleration in vocabulary growth. Stylistic differences in vocabulary composition were examined regarding the 'referential-expressive' distinction, controlling vocabulary size. Data have shown that general trends in vocabulary development are quite similar to those obtained for other languages using CDI adaptations. Moreover, all children in this sample eventually exhibited a vocabulary spurt, even if some can be defined as 'late spurters'. The type of lexical items which are learned during the spurt depend on both infant vocabulary size and referential score. About 28% of infants in this sample were defined 'referential' when their vocabulary size was about 50 words, but the stylistic differences disappeared at the 100- and 200-word stages. Composition of vocabulary did not differ in relation to precocity in reaching different stages of vocabulary development. The only exception was that infants who reached the 50-word stage first also had a vocabulary with a lower proportion of function words.","INDIVIDUAL_CHILDREN: Yes
LONGITUDINAL_DATA: Yes
DATA_ACCESS: None
VOCABULARY_SPURT: Yes
N_CHILDREN: 42
N_TIMEPOINTS: Not available in metadata.
PRIORITY: High"
