"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Data Availability Assessment"
"Principles of Learning: A Conceptual Framework for Domain-Specific Theories of Learning","https://scispace.com/paper/principles-of-learning-a-conceptual-framework-for-domain-2gm35vxs4i","2011","","","Christian J. Weibell","","https://scispace.com/pdf/principles-of-learning-a-conceptual-framework-for-domain-2gm35vxs4i.pdf","- **Relevance Score:** 70/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses Tolman's latent‑learning maze to show rats’ sudden error‑drop after reward, matching insight transitions and cognitive‑map theory; no human longitudinal data; trial‑by‑trial details are present but not isolated per individual.","Principles of Learning: A Conceptual Framework for Domain-Specific Theories of Learning Christian J. Weibell (we'-bull) Department of Instructional Psychology and Technology Doctor of Philosophy This study is predicated on the belief that there does not now exist, nor will there ever exist, any single theory of learning that is broad enough to account for all types of learning yet specific enough to be maximally useful in practical application. Perhaps this dichotomy is the reason for the apparent gap between existing theories of learning and the practice of instructional design. As an alternative to any supposed grand theory of learning—and following the lead of prominent thinkers in the fields of clinical psychology and language teaching—this study proposes a shift toward principles. It presents a principle-based conceptual framework of learning, and recommends use of the framework as a guide for creating domain-specific theories of learning. The purpose of this study was to review theories of learning in the behavioral, cognitive, constructive, human, and social traditions to identify principles of learning local to those theories that might represent specific instances of more universal principles, fundamentally requisite to the facilitation of learning in general. Many of the ideas reviewed have resulted from, or been supported by, direct empirical evidence. Others have been suggested based on observational or practical experience of the theorist. The ideas come from different points in time, are described from a variety of perspectives, and emphasize different aspects and types of learning; yet there are a number of common themes shared among them regarding the means by which learning occurs. It is hypothesized that such themes represent universal and fundamental principles of learning. These principles were the objective of the present study. They have been sought through careful review and analysis of both theoretical and empirical literature by methods of textual research (Clingan, 2008) and constant comparative analysis (Glaser & Strauss, 1967). By way of textual research a methodological lens was defined to identify general themes, and by way of constant comparative analysis these themes were developed further through the analysis and classification of specific instances of those themes in the texts reviewed. Ten such principles were identified: repetition, time, step size, sequence, contrast, significance, feedback, context, engagement, and agency. These ten facilitative principles were then organized in the context of a comprehensive principles-of-learning framework, which includes the four additional principles of potential, target, change, and practice.",""
"Tolman and Honzik (1930) revisited or the mazes of psychology (1930-1980)","https://scispace.com/paper/tolman-and-honzik-1930-revisited-or-the-mazes-of-psychology-79ex4ypj8y","1991","Journal Article","Psychological Record","Francine Ciancia","","","- **Relevance Score:** 62/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses rat maze adjustments to illustrate sudden insight, directly ties to Tolman's latent‑learning and cognitive‑map concepts, but lacks human data and detailed trial‑by‑trial analysis.","After its description by Tolman and Honzik in 1930 under the title \""'Insight' in rats,\"" the sudden adjustment of some rats to a new maze setup had been ascribed to perception and mnemonization, to consciousness and inventive ideation to reasoning or, again, to inferential expectation. ln 1948, inventing the cognitive map, Tolman did not refer to this behavior \""to lend further support to the doctrine of building up of maps\"" (Tolman, 1948, p. 200). Nevertheless, psychologists have not ceased to fit it to that famous Tolmanian concept.",""
"Modeling the distinct phases of skill acquisition.","https://scispace.com/paper/modeling-the-distinct-phases-of-skill-acquisition-1xiddzvqfm","2016","Journal Article","Journal of Experimental Psychology: Learning, Memory and Cognition","Caitlin Tenison
John R. Anderson","10.1037/XLM0000204","","- **Relevance Score:** 47/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses hidden Markov modeling on trial‑by‑trial reaction times to reveal abrupt state transitions in human math practice, documenting sudden performance jumps across individuals.","A focus of early mathematics education is to build fluency through practice. Several models of skill acquisition have sought to explain the increase in fluency because of practice by modeling both the learning mechanisms driving this speedup and the changes in cognitive processes involved in executing the skill (such as transitioning from calculation to retrieval). In the current study, we use hidden Markov modeling to identify transitions in the learning process. This method accounts for the gradual speedup in problem solving and also uncovers abrupt changes in reaction time, which reflect changes in the cognitive processes that participants are using to solve math problems. We find that as participants practice solving math problems they transition through 3 distinct learning states. Each learning state shows some speedup with practice, but the major speedups are produced by transitions between learning states. In examining and comparing the behavioral and neurological profiles of each of these states, we find parallels with the 3 phases of skill acquisition proposed by Fitts and Posner (1967): a cognitive, an associative, and an autonomous phase. (PsycINFO Database Record",""
"The spontaneous interconnection of four repertoires of behavior in a pigeon (Columba livia).","https://scispace.com/paper/the-spontaneous-interconnection-of-four-repertoires-of-mf4gxnuxay","1987","Journal Article","Journal of Comparative Psychology","Robert Epstein","10.1037/0735-7036.101.2.197","","- **Relevance Score:** 42/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses sudden combination of four trained pigeon behaviors to solve a novel problem, exemplifying animal insight. Shows rapid performance jump but lacks Tolman‑style latent learning, human data, or detailed trial‑by‑trial analysis.","A pigeon was trained to peck a small facsimile of a banana placed within its reach, to climb onto a box, to open a door, and to push a box toward targets. When confronted with a new situation-the banana was placed out of reach, and the box was placed behind the door-the four repertoires came together rapidly to produce a humanlike solution to the problem. A tentative account of the performance is offered in terms of empirically validated principles.",""
"Reinforcement learning and insight in the artificial pigeon","https://scispace.com/paper/reinforcement-learning-and-insight-in-the-artificial-pigeon-qlpg2rvnv3","2019","Journal Article","Cognitive Science","Thomas R. Colin
Tony Belpaeme","","https://escholarship.org/content/qt18w9n1gf/qt18w9n1gf.pdf","- **Relevance Score:** 42/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses pigeons in a reinforcement‑learning model to demonstrate insight‑like problem solving; shows abrupt performance jumps after a single trial; provides trial‑by‑trial data for the artificial agent, but lacks Tolman‑style latent‑learning phases and any human participant tracking.","",""
"Removal of an obstacle: problem‐solving behavior in pigeons","https://scispace.com/paper/removal-of-an-obstacle-problem-solving-behavior-in-pigeons-3itj7pfukw","1993","Journal Article","Journal of the Experimental Analysis of Behavior","Sadahiko Nakajima
Masaya Sato","10.1901/JEAB.1993.59-131","https://pmc.ncbi.nlm.nih.gov/articles/PMC1322080/pdf/jeabehav00006-0136.pdf","- **Relevance Score:** 42/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Shows pigeons solving a block‑removal problem with one bird’s abrupt performance drop, but lacks Tolman‑style latent phases, human data, and detailed trial‑by‑trial analysis.","The importance of a subject's personal history in the solution of an obstruction problem was demonstrated with pigeons. Four birds were trained to peck a key located outside the chamber by poking their heads through an opening in a screen. During tests, a white block was placed in front of the opening, so that it was not possible to peck the key without removing the block. All birds failed to remove the block. However, all birds that were subsequently trained to push the white block around the chamber in the absence of the key and a few of the birds trained similarly but with a black block solved the problem by pushing the block aside and pecking the key. One bird showed the abrupt descent in the learning curve that has been considered a characteristic of “insightful” problem solving. All birds maintained their successful performance after a 1-month interval with no intervening tests.",""
"Mice in a labyrinth show rapid learning, sudden insight, and efficient exploration.","https://scispace.com/paper/mice-in-a-labyrinth-show-rapid-learning-sudden-insight-and-lihisls4kr","2021","Journal Article","eLife","Matthew Rosenberg
Tony Zhang
Pietro Perona
Markus Meister","10.7554/ELIFE.66175","","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses abrupt performance jumps and trial‑by‑trial navigation data to show insight in mice; provides detailed per‑decision curves. Involves animal maze navigation, not classic manipulation tasks, and lacks a separate latent‑learning phase; no human participants.","Animals learn certain complex tasks remarkably fast, sometimes after a single experience. What behavioral algorithms support this efficiency? Many contemporary studies based on two-alternative-forced-choice (2AFC) tasks observe only slow or incomplete learning. As an alternative, we study the unconstrained behavior of mice in a complex labyrinth and measure the dynamics of learning and the behaviors that enable it. A mouse in the labyrinth makes ~2000 navigation decisions per hour. The animal explores the maze, quickly discovers the location of a reward, and executes correct 10-bit choices after only 10 reward experiences - a learning rate 1000-fold higher than in 2AFC experiments. Many mice improve discontinuously from one minute to the next, suggesting moments of sudden insight about the structure of the labyrinth. The underlying search algorithm does not require a global memory of places visited and is largely explained by purely local turning rules.",""
"Mice in a labyrinth: Rapid learning, sudden insight, and efficient exploration","https://scispace.com/paper/mice-in-a-labyrinth-rapid-learning-sudden-insight-and-4nnr7126ox","2021","Posted Content","bioRxiv","Matthew Rosenberg
Tony Zhang
Pietro Perona
Markus Meister","10.1101/2021.01.14.426746","https://scispace.com/pdf/mice-in-a-labyrinth-rapid-learning-sudden-insight-and-4nnr7126ox.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Shows abrupt policy switches in mice, analyzed per trial; uses non‑human navigation tasks resembling insight, hints at map‑like learning, but lacks human data and classic latent‑learning reward structure.","Animals learn certain complex tasks remarkably fast, sometimes after a single experience. What behavioral algorithms support this efficiency? Many contemporary studies based on two-alternative-forced-choice (2AFC) tasks observe only slow or incomplete learning. As an alternative, we study the unconstrained behavior of mice in a complex labyrinth and measure the dynamics of learning and the behaviors that enable it. A mouse in the labyrinth makes ~2000 navigation decisions per hour. The animal quickly discovers the location of a reward in the maze and executes correct 10-bit choices after only 10 reward experiences – a learning rate 1000-fold higher than in 2AFC experiments. Many mice improve discontinuously from one minute to the next, suggesting moments of sudden insight about the structure of the labyrinth. The underlying search algorithm does not require a global memory of places visited and is largely explained by purely local turning rules.",""
"Abrupt and spontaneous strategy switches emerge in simple regularised neural networks","https://scispace.com/paper/abrupt-and-spontaneous-strategy-switches-emerge-in-simple-2va5z6s58u4f","2024","Journal Article","PLOS Computational Biology","Anika T. Löwe
Léo Touzo
Paul S. Muhle-Karbe
Andrew Saxe
Christopher Summerfield
Nicolas W. Schuck","10.1371/journal.pcbi.1012505","","- **Relevance Score:** 37/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses abrupt strategy switches in humans and networks, with trial‑by‑trial analysis, but lacks animal work, latent‑learning design, or longitudinal child data.","Humans sometimes have an insight that leads to a sudden and drastic performance improvement on the task they are working on. Sudden strategy adaptations are often linked to insights, considered to be a unique aspect of human cognition tied to complex processes such as creativity or meta-cognitive reasoning. Here, we take a learning perspective and ask whether insight-like behaviour can occur in simple artificial neural networks, even when the models only learn to form input-output associations through gradual gradient descent. We compared learning dynamics in humans and regularised neural networks in a perceptual decision task that included a hidden regularity to solve the task more efficiently. Our results show that only some humans discover this regularity, whose behaviour was marked by a sudden and abrupt strategy switch that reflects an aha-moment. Notably, we find that simple neural networks with a gradual learning rule and a constant learning rate closely mimicked behavioural characteristics of human insight-like switches, exhibiting delay of insight, suddenness and selective occurrence in only some networks. Analyses of network architectures and learning dynamics revealed that insight-like behaviour crucially depended on a regularised gating mechanism and noise added to gradient updates, which allowed the networks to accumulate “silent knowledge” that is initially suppressed by regularised gating. This suggests that insight-like behaviour can arise from gradual learning in simple neural networks, where it reflects the combined influences of noise, gating and regularisation. These results have potential implications for more complex systems, such as the brain, and guide the way for future insight research. ",""
"Serial visual reversal learning in harbor seals (Phoca vitulina)","https://scispace.com/paper/serial-visual-reversal-learning-in-harbor-seals-phoca-26zhcc30","2022","Journal Article","Animal Cognition","Nicola Erdsack
Guido Dehnhardt
Frederike D. Hanke","10.1007/s10071-022-01653-1","https://scispace.com/pdf/serial-visual-reversal-learning-in-harbor-seals-phoca-26zhcc30.pdf","- **Relevance Score:** 37/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Shows sudden performance leaps in individual seals with trial‑by‑trial analysis, but lacks novel manipulation tasks, latent‑learning design, or human participants.","Abstract Progressively improving performance in a serial reversal learning (SRL) test has been associated with higher cognitive abilities and has served as a measure for cognitive/behavioral flexibility. Although the cognitive and sensory abilities of marine mammals have been subject of extensive investigation, and numerous vertebrate and invertebrate species were tested, SRL studies in aquatic mammals are sparse. Particularly in pinnipeds, a high degree of behavioral flexibility seems probable as they face a highly variable environment in air and underwater. Thus, we tested four harbor seals in a visual two-alternative forced-choice discrimination task and its subsequent reversals. We found significant individual differences in performance. One individual was able to solve 37 reversals showing progressive improvement of performance with a minimum of 6 errors in reversal 33. Two seals mastered two reversals, while one animal had difficulties in learning the discrimination task and failed to complete a single reversal. In conclusion, harbor seals can master an SRL experiment; however, the performance is inferior to results obtained in other vertebrates in comparable tasks. Future experiments will need to assess whether factors such as the modality addressed in the experiment have an influence on reversal learning performance or whether indeed, during evolution, behavioral flexibility has not specifically been favored in harbor seals. ",""
