"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Data Availability Assessment"
"The learning curve: Implications of a quantitative analysis","https://scispace.com/paper/the-learning-curve-implications-of-a-quantitative-analysis-37k1dtufsq","2004","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Charles R. Gallistel
Stephen Fairhurst
Peter D. Balsam","10.1073/PNAS.0404965101","","- **Relevance Score:** 78/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses multi‑species step‑like learning curves to show abrupt jumps; provides quantitative curve analyses; examines each animal individually; directly compares pigeons, rabbits, rats, and mice; frames jumps as phase‑transition‑like events; not a review.","The negatively accelerated, gradually increasing learning curve is an artifact of group averaging in several commonly used basic learning paradigms (pigeon autoshaping, delay- and trace-eye-blink conditioning in the rabbit and rat, autoshaped hopper entry in the rat, plus maze performance in the rat, and water maze performance in the mouse) The learning curves for individual subjects show an abrupt, often step-like increase from the untrained level of responding to the level seen in the well trained subject The rise is at least as abrupt as that commonly seen in psychometric functions in stimulus detection experiments It may indicate that the appearance of conditioned behavior is mediated by an evidence-based decision process, as in stimulus detection experiments If the appearance of conditioned behavior is taken instead to reflect the increase in an underlying associative strength, then a negligible portion of the function relating associative strength to amount of experience is behaviorally visible Consequently, rate of learning cannot be estimated from the group-average curve; the best measure is latency to the onset of responding, determined for each subject individually","CITES_INDIVIDUAL_DATA: Yes
DIGITIZABLE_FIGURES: Unclear
QUANTITATIVE_METHODS: Unclear
CROSS_DOMAIN: Yes
LIKELY_DATA_ACCESS: Unclear
PRIORITY: Unclear"
"Species-conserved mechanisms of cognitive flexibility in complex environments","https://scispace.com/paper/species-conserved-mechanisms-of-cognitive-flexibility-in-ziw4f1pm","2022","Posted Content","bioRxiv","Florian Bähner
Tzvetan Popov
Selina Hermann
Nico Boehme
Tom Merten
Hélène Zingone
Georgia Koppe
Andreas Meyer-Lindenberg
Hazem Toutounji
Daniel Durstewitz","10.1101/2022.11.14.516439","","- **Relevance Score:** 68/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Shows rats and humans exhibit abrupt learning jumps, provides quantitative data, compares species, but individual-level focus limited and lacks explicit phase‑transition theory or review format.","Flexible decision making in complex environments is a hallmark of intelligent behavior but the underlying learning mechanisms and neural computations remain elusive. Through a combination of behavioral, computational and electrophysiological analysis of a novel multidimensional rule-learning paradigm, we show that both rats and humans sequentially probe different behavioral strategies to infer the task rule, rather than learning all possible mappings between environmental cues and actions as current theoretical formulations suppose. This species-conserved process reduces task dimensionality and explains both observed sudden behavioral transitions and positive transfer effects. Behavioral strategies are represented by rat prefrontal activity and strategy-related variables can be decoded from magnetoencephalography signals in human prefrontal cortex. These mechanistic findings provide a foundation for the translational investigation of impaired cognitive flexibility. One-Sentence Summary Both rats and humans use behavioral strategies to infer task rules during multidimensional rule-learning.","CITES_INDIVIDUAL_DATA: Unclear
DIGITIZABLE_FIGURES: Unclear
QUANTITATIVE_METHODS: Unclear
CROSS_DOMAIN: Yes
LIKELY_DATA_ACCESS: Unclear
PRIORITY: Unclear"
"The dynamics of insight: Mathematical discovery as a phase transition","https://scispace.com/paper/the-dynamics-of-insight-mathematical-discovery-as-a-phase-562yl4n908","2009","Journal Article","Memory & Cognition","Damian G. Stephen
Rebecca Boncoddo
James S. Magnuson
James S. Magnuson
James A. Dixon
James A. Dixon","10.3758/MC.37.8.1132","https://link.springer.com/content/pdf/10.3758/MC.37.8.1132.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses phase‑transition framework to explain sudden insight; provides entropy and power‑law metrics showing abrupt performance jumps; analyzes eye‑movement data per participant; no cross‑species comparison or review format.","In recent work in cognitive science, it has been proposed that cognition is a self-organizing, dynamical system. However, capturing the real-time dynamics of cognition has been a formidable challenge. Furthermore, it has been unclear whether dynamics could effectively address the emergence of abstract concepts (e.g., language, mathematics). Here, we provide evidence that a quintessentially cognitive phenomenon—the spontaneous discovery of a mathematical relation—emerges through self-organization. Participants solved a series of gear-system problems while we tracked their eye movements. They initially solved the problems by manually simulating the forces of the gears but then spontaneously discovered a mathematical solution. We show that the discovery of the mathematical relation was predicted by changes in entropy and changes in power-law behavior, two hallmarks of phase transitions. Thus, the present study demonstrates the emergence of higher order cognitive phenomena through the nonlinear dynamics of self-organization.","CITES_INDIVIDUAL_DATA: Unclear
DIGITIZABLE_FIGURES: Unclear
QUANTITATIVE_METHODS: Yes
CROSS_DOMAIN: No
LIKELY_DATA_ACCESS: Unclear
PRIORITY: Unclear"
"Evolution of behavioral attractors with learning: nonequilibrium phase transitions.","https://scispace.com/paper/evolution-of-behavioral-attractors-with-learning-i97hrzj19x","1992","Journal Article","Journal of Experimental Psychology: Human Perception and Performance","Pier-Giorgio Zanone
J. A. S. Kelso","10.1037//0096-1523.18.2.403","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides quantitative phase‑transition data on individual human learners; models abrupt learning shifts but lacks cross‑species comparison or review scope.","Learning a bimanual coordination task (synchronization to a visually specified phasing relation) was studied as a dynamical process over 5 days of practicing a required phasing pattern. Systematic probes of the attractor layout of the 5 Ss' coordination dynamics (expressed through a collective variable, relative phase) were conducted before, during, and after practice. Depending on the relationship between the initial coordination dynamics (so-called intrinsic dynamics) and the pattern to be learned (termed behavioral information, which acts as an attractor of the coordination dynamics toward the required phasing), qualitative changes in the phase diagram occurred with learning, accompanied by quantitative evidence for loss of stability (phase transitions). Such effects persisted beyond 1 week. The nature of change due to learning (e.g., abrupt vs. gradual) is shown to arise from the cooperative or competitive interplay between behavioral information and the intrinsic dynamics.","CITES_INDIVIDUAL_DATA: Unclear
DIGITIZABLE_FIGURES: Unclear
QUANTITATIVE_METHODS: Unclear
CROSS_DOMAIN: No
LIKELY_DATA_ACCESS: Low
PRIORITY: Unclear"
"Animal Expertise: Evidence of Phase Transitions by Utilizing Running Estimates of Performance Variability","https://scispace.com/paper/animal-expertise-evidence-of-phase-transitions-by-utilizing-4jdez339fc","2011","Journal Article","Ecological Psychology","William S. Helton","10.1080/10407413.2011.564537","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses running variability metrics to quantify abrupt performance changes in individual dogs; references human phase‑transition reports but lacks direct cross‑species experiments or a review synthesis.","Animal behavioral flexibility is facilitated by the ability of animals to acquire expertise. For motor skills, expertise development is obvious; however, for perceptual and cognitive skills it is hidden from view. The study of covert skills in people is facilitated by the ability of people to verbally report what they are doing. Verbal reports are not an option when studying other animals. Nevertheless, systemic changes may be detectable by changes in performance variability. An increase in performance variability occurs during a period of self-reported skill phase transition in people in which more than 1 strategy is used in an intermixed fashion. For 2 perceptual categorization tasks in dogs (Canis lupus familiaris), 1 visual and 1 olfactory, running measures of performance variability reveal an increase in performance variability during training similar to the one seen during reported phase transitions in people. The use of running estimates of performance variability may be a new tool for detecting th...","CITES_INDIVIDUAL_DATA: Unclear
DIGITIZABLE_FIGURES: Unclear
QUANTITATIVE_METHODS: Unclear
CROSS_DOMAIN: Yes
LIKELY_DATA_ACCESS: Low
PRIORITY: Medium"
"S-shaped motor learning and nonequilibrium phase transitions.","https://scispace.com/paper/s-shaped-motor-learning-and-nonequilibrium-phase-transitions-rf2eot8fqc","2015","Journal Article","Journal of Experimental Psychology: Human Perception and Performance","Yeou Teh Liu
Karl M. Newell","10.1037/A0038812","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides quantitative performance curves and statistical analysis of S‑shaped learning; tracks individual participants' trajectories; frames results as a saddle‑node bifurcation (phase transition). No cross‑species comparison or review format.","S-Shaped change in performance outcome has long been considered to be a pathway of motor learning, but there is little or no evidence for it. The experiment investigated the hypothesis that S-shaped motor learning as reflected in the task outcome is a product of a transition in the movement coordination dynamics as a function of practice acting as a control parameter. Young adult participants practiced the roller ball task that required learning the transition of a coordination mode to preserve and enhance the motion of a rotating ball to transition from task failure to success. There were 50 practice trials per day for as many practice days (3-20) as required for each participant to reach the task criterion of success that was followed 1 week later by a retention test. All participants improved their task performance with practice but there were subgroups of patterns of change including S-shaped learning. The enhanced variability during the transition supported the interpretation that the S-shaped learning outcome is reflective of a saddle-node bifurcation or first-order nonequilibrium transition. The learning of a new pattern of movement coordination is a different process from learning to scale an already producible coordination mode to new task demands.","CITES_INDIVIDUAL_DATA: Unclear
DIGITIZABLE_FIGURES: Unclear
QUANTITATIVE_METHODS: Yes
CROSS_DOMAIN: No
LIKELY_DATA_ACCESS: Low
PRIORITY: Medium"
"Dynamics of representational change: entropy, action, and cognition.","https://scispace.com/paper/dynamics-of-representational-change-entropy-action-and-2d91sv3ufk","2009","Journal Article","Journal of Experimental Psychology: Human Perception and Performance","Damian G. Stephen
James A. Dixon
Robert W. Isenhower","10.1037/A0014510","https://www.researchgate.net/profile/Damian-Kelty-Stephen/publication/40455355_Dynamics_of_Representational_Change_Entropy_Action_and_Cognition/links/0912f50bccf485bc58000000/Dynamics-of-Representational-Change-Entropy-Action-and-Cognition.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses entropy and negentropy peaks to quantitatively capture abrupt learning jumps; analyzes each participant's action dynamics; frames findings with phase‑transition theory; lacks any cross‑species comparison or review scope.","Explaining how the cognitive system can create new structures has been a major challenge for cognitive science. Self-organization from the theory of nonlinear dynamics offers an account of this remarkable phenomenon. Two studies provide an initial test of the hypothesis that the emergence of new cognitive structure follows the same universal principles as emergence in other domains (e.g., fluids, lasers). In both studies, participants initially solved gear-system problems by manually tracing the force across a system of gears. Subsequently, they discovered that the gears form an alternating sequence, thereby demonstrating a new cognitive structure. In both studies, dynamical analyses of action during problem solving predicted the spontaneous emergence of the new cognitive structure. Study 1 showed that a peak in entropy, followed by negentropy, key indicators of self-organization, predicted discovery of alternation. Study 2 replicated these effects, and showed that increasing environmental entropy accelerated discovery, a classic prediction from dynamics. Additional analyses based on the relationship between phase transitions and power-law behavior provide converging evidence. The studies provide an initial demonstration of the emergence of cognitive structure through self-organization.","CITES_INDIVIDUAL_DATA: Unclear | DIGITIZABLE_FIGURES: Unclear | QUANTITATIVE_METHODS: Yes | CROSS_DOMAIN: Yes | LIKELY_DATA_ACCESS: Unclear | PRIORITY: Unclear"
"Indicators of discontinuous change in the development of analogical reasoning","https://scispace.com/paper/indicators-of-discontinuous-change-in-the-development-of-2cw53sroo9","1997","Journal Article","Journal of Experimental Child Psychology","Bettina Hosenfeld
Han L. J. van der Maas
Dymphna C. van den Boom","10.1006/JECP.1996.2351","https://pure.uva.nl/ws/files/49600046/2158_bettinajecp.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses longitudinal data to quantify sudden jumps and variance in children's analogy performance; tracks individual learners' trajectories; frames changes as phase‑transition‑like events; no cross‑species comparison or review scope.","","CITES_INDIVIDUAL_DATA: Unclear | DIGITIZABLE_FIGURES: Unclear | QUANTITATIVE_METHODS: Unclear | CROSS_DOMAIN: Unclear | LIKELY_DATA_ACCESS: Unclear | PRIORITY: Unclear"
"Data Mixing Can Induce Phase Transitions in Knowledge Acquisition","https://scispace.com/paper/http://arxiv.org/abs/2505.18091v2","2025","Preprint","","Xinran Gu
Kaifeng Lyu
Jiazheng Li
Jingzhao Zhang","","https://arxiv.org/pdf/2505.18091v2","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides quantitative experiments showing abrupt memorization jumps and formal phase‑transition framework for LLMs; lacks any biological species, individual learners, or review scope.","Large Language Models (LLMs) are typically trained on data mixtures: most data come from web scrapes, while a small portion is curated from high-quality sources with dense domain-specific knowledge. In this paper, we show that when training LLMs on such data mixtures, knowledge acquisition from knowledge-dense datasets, unlike training exclusively on knowledge-dense data (arXiv:2404.05405), does not always follow a smooth scaling law but can exhibit phase transitions with respect to the mixing ratio and model size. Through controlled experiments on a synthetic biography dataset mixed with web-scraped data, we demonstrate that: (1) as we increase the model size to a critical value, the model suddenly transitions from memorizing very few to most of the biographies; (2) below a critical mixing ratio, the model memorizes almost nothing even with extensive training, but beyond this threshold, it rapidly memorizes more biographies. We attribute these phase transitions to a capacity allocation phenomenon: a model with bounded capacity must act like a knapsack problem solver to minimize the overall test loss, and the optimal allocation across datasets can change discontinuously as the model size or mixing ratio varies. We formalize this intuition in an information-theoretic framework and reveal that these phase transitions are predictable, with the critical mixing ratio following a power-law relationship with the model size. Our findings highlight a concrete case where a good mixing recipe for large models may not be optimal for small models, and vice versa.","CITES_INDIVIDUAL_DATA: No | DIGITIZABLE_FIGURES: Unclear | QUANTITATIVE_METHODS: Yes | CROSS_DOMAIN: No | LIKELY_DATA_ACCESS: Unclear | PRIORITY: Low"
"Hidden Progress in Deep Learning: SGD Learns Parities Near the Computational Limit","https://scispace.com/paper/http://arxiv.org/abs/2207.08799v3","2022","Preprint","","Boaz Barak
Benjamin L. Edelman
Surbhi Goel
Sham Kakade
Eran Malach
Cyril Zhang","","https://arxiv.org/pdf/2207.08799v3","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Shows abrupt SGD learning curves with quantitative iteration data and phase‑transition framing, but focuses on artificial nets, lacking any cross‑species or individual animal analysis.","There is mounting evidence of emergent phenomena in the capabilities of deep learning methods as we scale up datasets, model sizes, and training times. While there are some accounts of how these resources modulate statistical capacity, far less is known about their effect on the computational problem of model training. This work conducts such an exploration through the lens of learning a $k$-sparse parity of $n$ bits, a canonical discrete search problem which is statistically easy but computationally hard. Empirically, we find that a variety of neural networks successfully learn sparse parities, with discontinuous phase transitions in the training curves. On small instances, learning abruptly occurs at approximately $n^{O(k)}$ iterations; this nearly matches SQ lower bounds, despite the apparent lack of a sparse prior. Our theoretical analysis shows that these observations are not explained by a Langevin-like mechanism, whereby SGD ""stumbles in the dark"" until it finds the hidden set of features (a natural algorithm which also runs in $n^{O(k)}$ time). Instead, we show that SGD gradually amplifies the sparse solution via a Fourier gap in the population gradient, making continual progress that is invisible to loss and error metrics.","CITES_INDIVIDUAL_DATA: No
DIGITIZABLE_FIGURES: No
QUANTITATIVE_METHODS: No
CROSS_DOMAIN: No
LIKELY_DATA_ACCESS: Unclear
PRIORITY: Unclear"
