"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Data Availability Assessment"
"Hook choice and manufacture in two New Caledonian crows","https://scispace.com/paper/sjflg1E96okJ","","","","AAS Weir","","https://users.ox.ac.uk/~Kgroup/publications/pdf/weir_thesis.pdf#page=72","- **Relevance Score:** 65/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses New Caledonian crows as central subjects; provides trial‑by‑trial latency; reports spontaneous wire‑bending insight; lacks multi‑element tool assembly; links latency to insight modestly; cites key literature and discusses evolution.","","INDIVIDUAL_TRIALS: Yes
PERFORMANCE_DATA: Yes
DATA_ACCESS: None
INSIGHT_EVIDENCE: Yes
N_INDIVIDUALS: 2
N_TRIALS: Not available in metadata.
PRIORITY: High"
"Shaping of Hooks in New Caledonian Crows","https://scispace.com/paper/shaping-of-hooks-in-new-caledonian-crows-3igiu7tayr","2002","Journal Article","Science","Alex A. S. Weir
Jackie Chappell
Alex Kacelnik","10.1126/SCIENCE.1073433","https://scispace.com/pdf/shaping-of-hooks-in-new-caledonian-crows-3igiu7tayr.pdf","- **Relevance Score:** 50/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses New Caledonian crows as central subject; bends wire into hooks (tool shaping) suggesting compound construction; provides insight discussion but lacks individual latency data linking insight to tool‑building; cites classic works and compares to chimpanzee insight; introduces novel hook‑shaping task and discusses evolutionary significance.","Many animals use tools, but their understanding of physical forces or causal relations is unclear ([1][1], [2][2]). Primates are considered the most versatile and complex tool users, but observations of New Caledonian crows ( Corvus moneduloides ) ([3–5][3]) raise the possibility that these birds","INDIVIDUAL_TRIALS: Yes
PERFORMANCE_DATA: Yes
DATA_ACCESS: Figures
INSIGHT_EVIDENCE: Yes
N_INDIVIDUALS: 2
N_TRIALS: 10
PRIORITY: High"
"Insightful problem solving and creative tool modification by captive nontool-using rooks","https://scispace.com/paper/insightful-problem-solving-and-creative-tool-modification-by-2752kuh0v9","2009","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Christopher D. Bird
Nathan J. Emery","10.1073/PNAS.0901008106","https://www.pnas.org/content/pnas/106/25/10370.full.pdf","- **Relevance Score:** 50/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Focuses on rooks as central species; demonstrates spontaneous insight; introduces novel tool contexts; cites key works; compares to chimpanzee insight; lacks individual latency and compound tool assembly data.","The ability to use tools has been suggested to indicate advanced physical cognition in animals. Here we show that rooks, a member of the corvid family that do not appear to use tools in the wild are capable of insightful problem solving related to sophisticated tool use, including spontaneously modifying and using a variety of tools, shaping hooks out of wire, and using a series of tools in a sequence to gain a reward. It is remarkable that a species that does not use tools in the wild appears to possess an understanding of tools rivaling habitual tool users such as New Caledonian crows and chimpanzees. Our findings suggest that the ability to represent tools may be a domain-general cognitive capacity rather than an adaptive specialization and questions the relationship between physical intelligence and wild tool use.","INDIVIDUAL_TRIALS: Unclear
PERFORMANCE_DATA: Unclear
DATA_ACCESS: None
INSIGHT_EVIDENCE: Yes
N_INDIVIDUALS: Unclear
N_TRIALS: Unclear
PRIORITY: Not available in metadata."
"Compound tool construction by New Caledonian crows.","https://scispace.com/paper/compound-tool-construction-by-new-caledonian-crows-qqajlv80l8","2018","Journal Article","Scientific Reports","A. M. P. von Bayern
A. M. P. von Bayern
A. M. P. von Bayern
S. Danel
S. Danel
Alice M. I. Auersperg
Alice M. I. Auersperg
Alice M. I. Auersperg
B. Mioduszewska
Alex Kacelnik","10.1038/S41598-018-33458-Z","https://scispace.com/pdf/compound-tool-construction-by-new-caledonian-crows-qqajlv80l8.pdf","- **Relevance Score:** 48/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses New Caledonian crows to study compound tool building, providing detailed observations of multi‑element tool assembly. Lacks individual latency measurements and clear sudden‑insight claims, and does not link latency to insight or cite classic comparative literature.","The construction of novel compound tools through assemblage of otherwise non-functional elements involves anticipation of the affordances of the tools to be built. Except for few observations in captive great apes, compound tool construction is unknown outside humans, and tool innovation appears late in human ontogeny. We report that habitually tool-using New Caledonian crows (Corvus moneduloides) can combine objects to construct novel compound tools. We presented 8 naive crows with combinable elements too short to retrieve food targets. Four crows spontaneously combined elements to make functional tools, and did so conditionally on the position of food. One of them made 3- and 4-piece tools when required. In humans, individual innovation in compound tool construction is often claimed to be evolutionarily and mechanistically related to planning, complex task coordination, executive control, and even language. Our results are not accountable by direct reinforcement learning but corroborate that these crows possess highly flexible abilities that allow them to solve novel problems rapidly. The underlying cognitive processes however remain opaque for now. They probably include the species’ typical propensity to use tools, their ability to judge affordances that make some objects usable as tools, and an ability to innovate perhaps through virtual, cognitive simulations.","INDIVIDUAL_TRIALS: Yes
PERFORMANCE_DATA: Yes
DATA_ACCESS: Repository/Figures
INSIGHT_EVIDENCE: Yes
N_INDIVIDUALS: 8
N_TRIALS: Not addressed in this paper.
PRIORITY: High"
"Reply to Lind et al.: Insight and learning","https://scispace.com/paper/reply-to-lind-et-al-insight-and-learning-3xdxs9lz4s","2009","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Christopher D. Bird
Nathan J. Emery","10.1073/PNAS.0906351106","https://www.pnas.org/doi/pdf/10.1073/pnas.0906351106","- **Relevance Score:** 46/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Focuses on rooks, shows spontaneous insight in novel hook tool creation, cites key chimp studies, but lacks individual latency data and true compound multi‑element tool assembly.","In reply to the letter from Lind et al. (1), our study (2) found that rooks not only learned to obtain food by dropping a stone into a tube to collapse a platform, but that they were able to spontaneously choose the correct size and shape tool when presented with subsequent transfer tests and spontaneously solve a completely new task, whereby they had to lift a bucket by using a novel hook tool and manufacture a hook tool from a piece of wire. While we agree that the question of animal “insight” is a complex one in light of studies on chimpanzees (3) and …","INDIVIDUAL_TRIALS: Unclear
PERFORMANCE_DATA: Unclear
DATA_ACCESS: None
INSIGHT_EVIDENCE: Yes
N_INDIVIDUALS: Unclear
N_TRIALS: Unclear
PRIORITY: High"
"Measuring creativity : an account of natural and artificial creativity","https://scispace.com/paper/measuring-creativity-an-account-of-natural-and-artificial-1uh7g4hxng","2021","Journal Article","European journal for philosophy of science","Caterina Moruzzi","10.1007/S13194-020-00313-W","https://scispace.com/pdf/measuring-creativity-an-account-of-natural-and-artificial-1uh7g4hxng.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses New Caledonian crows as primary agents and details multi‑element tool assembly, but lacks individual latency timings, explicit insight claims, or integrated latency‑insight analysis.","Despite the recent upsurge of interest in the investigation of creativity, the question of how to measure creativity is arguably underdiscussed. The aim of this paper is to address this gap, proposing a multidimensional account of creativity which identifies problem-solving, evaluation, and naivety as measurable features that are common among creative processes. The benefits that result from the adoption of this model are twofold: integrating discussions on creativity in various domains and offering the tools to assess creativity across systems of different kinds. By situating creativity within this framework, I aim to contribute to a non-anthropocentric, more comprehensive understanding of the notion, and to debates on natural and artificial creativity.","INDIVIDUAL_TRIALS: Yes
PERFORMANCE_DATA: Yes
DATA_ACCESS: None
INSIGHT_EVIDENCE: Yes
N_INDIVIDUALS: 8
N_TRIALS: Not addressed in this paper.
PRIORITY: High"
"A New Caledonian crow (Corvus moneduloides) creatively re-designs tools by bending or unbending aluminium strips.","https://scispace.com/paper/a-new-caledonian-crow-corvus-moneduloides-creatively-re-m83yaoao25","2006","Journal Article","Animal Cognition","Alex A. S. Weir
Alex Kacelnik","10.1007/S10071-006-0052-5","https://scispace.com/pdf/a-new-caledonian-crow-corvus-moneduloides-creatively-re-m83yaoao25.pdf","- **Relevance Score:** 31/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses New Caledonian crow as central subject; introduces novel aluminium‑strip bending tool; cites classic chimp insight studies and compares performances; hints at insight but lacks latency data and compound‑tool assembly; evolutionary discussion is limited.","Previous observations of a New Caledonian crow (Corvus moneduloides) spontaneously bending wire and using it as a hook [Weir et al. (2002) Science 297:981] have prompted questions about the extent to which these animals ‘understand’ the physical causality involved in how hooks work and how to make them. To approach this issue we examine how the same subject (“Betty”) performed in three experiments with novel material, which needed to be either bent or unbent in order to function to retrieve food. These tasks exclude the possibility of success by repetition of patterns of movement similar to those employed before. Betty quickly developed novel techniques to bend the material, and appropriately modified it on four of five trials when unbending was required. She did not mechanically apply a previously learned set of movements to the new situations, and instead sought new solutions to each problem. However, the details of her behaviour preclude concluding definitely that she understood and planned her actions: in some cases she probed with the unmodified tools before modifying them, or attempted to use the unmodified (unsuitable) end of the tool after modification. Gauging New Caledonian crows’ level of understanding is not yet possible, but the observed behaviour is consistent with a partial understanding of physical tasks at a level that exceeds that previously attained by any other non-human subject, including apes.","INDIVIDUAL_TRIALS: Yes
PERFORMANCE_DATA: Yes
DATA_ACCESS: Supplementary/Figures
INSIGHT_EVIDENCE: Yes
N_INDIVIDUALS: 1
N_TRIALS: 41
PRIORITY: High"
"Tool bending in New Caledonian crows","https://scispace.com/paper/tool-bending-in-new-caledonian-crows-xwcozucfrz","2016","Journal Article","Royal Society Open Science","Christian Rutz
Shoko Sugasawa
Jessica Eva Megan van der Wal
Barbara Christina Klump
James J. H. St Clair","10.1098/RSOS.160439","https://royalsocietypublishing.org/doi/pdf/10.1098/rsos.160439","- **Relevance Score:** 31/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses New Caledonian crows as central subject; documents wire‑bending as a novel tool manipulation; lacks individual latency measurements; describes spontaneous bending but without detailed insight analysis; does not link latency to insight; cites seminal cognition literature; briefly compares to chimpanzee insight; highlights evolutionary significance of tool innovation.","'Betty' the New Caledonian crow astonished the world when she 'spontaneously' bent straight pieces of garden wire into hooked foraging tools. Recent field experiments have revealed that tool bending is part of the species' natural behavioural repertoire, providing important context for interpreting Betty's iconic wire-bending feat. More generally, this discovery provides a compelling illustration of how natural history observations can inform laboratory-based research into the cognitive capacities of non-human animals.","INDIVIDUAL_TRIALS: Unclear
PERFORMANCE_DATA: Unclear
DATA_ACCESS: None
INSIGHT_EVIDENCE: Unclear
N_INDIVIDUALS: Not available in metadata.
N_TRIALS: Not available in metadata.
PRIORITY: Not available in metadata."
"Tool manufacture by New Caledonian crows : chipping away at human uniqueness","https://scispace.com/paper/tool-manufacture-by-new-caledonian-crows-chipping-away-at-1cwhfratqd","2006","","","Gavin R. Hunt
Russell D. Gray","","","- **Relevance Score:** 31/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Focuses on New Caledonian crows’ toolmaking, outlines complex aspects, cites key literature, compares to chimpanzee insight, but lacks latency data or direct insight experiments.","New Caledonian crows have evolved relatively sophisticated tool manufacture. We identify ten complex aspects that occur in their toolmaking, which is more similar to human toolmaking than that of any other nonhuman species, including chimpanzees. Crows provide living animal subjects for investigating those behavioral, cognitive and neural adaptations that allow species to move beyond chimpanzee-like tool manufacture.","INDIVIDUAL_TRIALS: No
PERFORMANCE_DATA: No
DATA_ACCESS: None
INSIGHT_EVIDENCE: No
N_INDIVIDUALS: Not available in metadata.
N_TRIALS: Not available in metadata.
PRIORITY: Low"
"New Caledonian crows plan for specific future tool use.","https://scispace.com/paper/new-caledonian-crows-plan-for-specific-future-tool-use-4j1i7h9p5d","2020","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Markus Boeckle
Markus Boeckle
Martina Schiestl
Martina Schiestl
Martina Schiestl
Anna Frohnwieser
Romana Gruber
Rachael Miller
Thomas Suddendorf
Russell D. Gray
Russell D. Gray
Alex H. Taylor
Nicola S. Clayton","10.1098/RSPB.2020.1490","https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2020.1490","- **Relevance Score:** 23/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses New Caledonian crows as central subjects; does not involve birds building multi‑component tools; lacks individual latency timings; reports planned tool selection, not sudden insight; no direct latency‑insight link; cites classic cognition literature and compares to chimpanzee studies; introduces a new future‑planning task; discusses convergent evolution of planning abilities.","The ability to plan for future events is one of the defining features of human intelligence. Whether non-human animals can plan for specific future situations remains contentious: despite a sustained research effort over the last two decades, there is still no consensus on this question. Here, we show that New Caledonian crows can use tools to plan for specific future events. Crows learned a temporal sequence where they were (a) shown a baited apparatus, (b) 5 min later given a choice of five objects and (c) 10 min later given access to the apparatus. At test, these crows were presented with one of two tool-apparatus combinations. For each combination, the crows chose the right tool for the right future task, while ignoring previously useful tools and a low-value food item. This study establishes that planning for specific future tool use can evolve via convergent evolution, given that corvids and humans shared a common ancestor over 300 million years ago, and offers a route to mapping the planning capacities of animals.","INDIVIDUAL_TRIALS: Unclear
PERFORMANCE_DATA: Unclear
DATA_ACCESS: None
INSIGHT_EVIDENCE: Unclear
N_INDIVIDUALS: Not available in metadata.
N_TRIALS: Not available in metadata.
PRIORITY: Not available in metadata."
