"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Metacognition and insight during problem solving: Comment on Metcalfe.","https://scispace.com/paper/metacognition-and-insight-during-problem-solving-comment-on-53ahywcs2k","1992","Journal Article","Journal of Experimental Psychology: Learning, Memory and Cognition","Robert W. Weisberg","10.1037//0278-7393.18.2.426","","… sudden bursts of insight, (b) Metcalfe's feeling-of-warmth data for insight problems are … Metcalfe's definition of insight is circular and does not further our understanding of problem solving…","Metcalfe (1986a, 1986b; Metcalfe & Weibe, 1987) used two types of metacognitive judgments, prediction of solution and rating of warmth, to support the claim that there is a nonincremental process corresponding to the Gestalt notion of insight that occurs in the solution of certain sorts of problems. However, there are logical and empirical issues that can be raised about Metcalfe's analysis and conclusions : a) Metcalfe's finding that Ss cannot predict their performance on «insight» problems does not not logically necessitate that solutions to such problems occur in sudden bursts of insight, b) Metcalfe's feeling-of-warmth data for insight problems are problematic as support for her hypothesis, and c) Metcalfe's definition of insight is circular and does not further our understanding of problem solving"
"Insight and metacognition","https://scispace.com/paper/EVtLpt932PQJ","","","","J Metcalfe","","","… Second, Wiebe and I (Metcalfe & Wiebe, 1987) proposed that if partici pants' metacognitions showed a sudden solution, then we should call those problems insight problems, and if they …",""
"Intuition in insight and noninsight problem solving","https://scispace.com/paper/intuition-in-insight-and-noninsight-problem-solving-o7h8pmuuwy","1987","Journal Article","Memory & Cognition","Janet Metcalfe
David Wiebe","10.3758/BF03197722","https://link.springer.com/content/pdf/10.3758/BF03197722.pdf","… be defined in terms of the antecedent phenomenology that may be monitored by metacognitive assessments by the subject. Adopting this solution may have interesting (although as yet …","People’s metacognitions, both before and during problem solving, may be of importance in motivating and guiding problem-solving behavior. These metacognitions could also be diagnostic for distinguishing among different classes of problems, each perhaps controlled by different cognitive processes. In the present experiments, intuitions on classic insight problems were compared with those on noninsight and algebra problems. The findings were as follows: (1) subjective feeling of knowing predicted performance on algebra problems but not on insight problems; (2) subjects’ expectations of performance greatly exceeded their actual performance, especially on insight problems; (3) normative predictions provided a better estimate of individual performance than did subjects’ own predictions, especially on the insight problems; and, most importantly, (4) the patterns-of-warmth ratings, which reflect subjects’ feelings of approaching solution, differed for insight and noninsight problems. Algebra problems and noninsight problems showed a more incremental pattern over the course of solving than did insight problems. In general, then, the data indicated that noninsight problems were open to accurate predictions of performance, whereas insight problems were opaque to such predictions. Also, the phenomenology of insight-problem solution was characterized by a sudden, unforeseen flash of illumination. We propose that the difference in phenomenology accompanying insight and noninsight problem solving, as empirically demonstrated here, be used to define insight."
"Intuitive feelings of warmth and confidence in insight and noninsight problem solving of magic tricks","https://scispace.com/paper/intuitive-feelings-of-warmth-and-confidence-in-insight-and-39rxlj34j7","2016","Journal Article","Frontiers in Psychology","Mikael Ringstad Hedne
Elisabeth Norman
Janet Metcalfe","10.3389/FPSYG.2016.01314","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2016.01314/pdf","… In the present study we explored whether the relationship between metacognitive, “intuitive” feelings and objective indices of problem solving differed for insight vs. noninsight solutions …","The focus of the current study is on intuitive feelings of insight during problem solving and the extent to which such feelings are predictive of successful problem solving. We report the results from an experiment (N=51) that applied a procedure where the to-be-solved problems were 32 short (15 s) video recordings of magic tricks. We included metacognitive ratings similar to the ""warmth ratings"" previously used by Metcalfe and colleagues, as well as confidence ratings. At regular intervals during problem solving, participants indicated the perceived closeness to the correct solution. Participants also indicated directly whether each problem was solved by insight or not. We found that problems that people claimed were solved by insight were characterised by higher accuracy and higher confidence than noninsight solutions. There was no difference between the two types of solution in warmth ratings, however. Confidence ratings were more strongly associated with solution accuracy for noninsight than insight trials. Moreover, for insight trials the participants were more likely to repeat their incorrect solutions on a subsequent recognition test. The results have implications for understanding people's metacognitive awareness of the cognitive processes involved in problem solving. They also have general implications for our understanding of how intuition and insight are related."
"How to detect insight moments in problem solving experiments","https://scispace.com/paper/how-to-detect-insight-moments-in-problem-solving-experiments-4goinz8la6","2018","Journal Article","Frontiers in Psychology","Ruben Laukkonen
Jason M. Tangen","10.3389/FPSYG.2018.00282","https://scispace.com/pdf/how-to-detect-insight-moments-in-problem-solving-experiments-4goinz8la6.pdf","… the first warmth rating and the last warmth rating prior to a solution. In order to be faithful to the definition of insight as a ‘sudden solution,’ we determined that an insight had occurred …","Arguably, it is not possible to study insight moments during problem solving without being able to accurately detect when they occur (Bowden and Jung-Beeman, 2007). Despite over a century of research on the insight moment, there is surprisingly little consensus on the best way to measure them in real-time experiments. There have also been no attempts to evaluate whether the different ways of measuring insight converge. Indeed, if it turns out that the popular measures of insight diverge, then this may indicate that researchers who have used one method may have been measuring a different phenomenon to those who have used another method. We compare the strengths and weaknesses of the two most commonly cited ways of measuring insight: The feelings-of-warmth measure adapted from Metcalfe and Wiebe (1987), and the self-report measure adapted from Bowden and Jung-Beeman (2007). We find little empirical agreement between the two measures, and conclude that the self-report measure of Aha! is superior both methodologically and theoretically, and provides a better representation of what is commonly regarded as insight. We go on to describe and recommend a novel visceral measure of insight using a dynamometer as described in Creswell et al. (2016)."
"Feeling of knowing in memory and problem solving.","https://scispace.com/paper/feeling-of-knowing-in-memory-and-problem-solving-34ezarkagt","1986","Journal Article","Journal of Experimental Psychology: Learning, Memory and Cognition","Janet Metcalfe","10.1037/0278-7393.12.2.288","http://www.columbia.edu/cu/psychology/metcalfe/PDFs/Metcalfe%201986%20Feeling.pdf","… This study investigates feelings of knowing for problem solving … , subjects gave feeling-of-knowing judgments for “insight” … , the feeling-of-knowing rank ordering of insight problems did …","This study investigates feelings of knowing for problem solving and memory. In Experiment 1 subjects judged their feelings of knowing to trivia questions they had been unable to answer, then performed a multiple-choice recognition test In a second task, subjects gave feeling-of-knowing judgments for ""insight"" problems to which they did not immediately know the answers. Later, they were given 5 mia to solve each problem. In contrast to the positive correlation found in the memory task, the feeling-of-knowing rank ordering of insight problems did not relate to problem solution. Experiment 2 provided a replication of Experiment 1 with a generation memory technique rather than a multiplechoice recognition test. Both experiments showed that although people could predict memory performance reasonably well, predictive metacognitions were nonexistent for the problems. The data are interpreted as implying that insight problems do involve a sudden illumination, and that illumination cannot be predicted in advance."
"Premonitions of insight predict impending error.","https://scispace.com/paper/premonitions-of-insight-predict-impending-error-ckdarntnqc","1986","Journal Article","Journal of Experimental Psychology: Learning, Memory and Cognition","Janet Metcalfe","10.1037/0278-7393.12.4.623","https://www.columbia.edu/cu/psychology/metcalfe/PDFs/Metcalfe%201986%20Premonitions.pdf","… The warmth-rating data also indicate that when the correct … , there was usually a subjectively catastrophic insight process. … How rapidly the shift in metacognition has to occur if the …","Five experiments explored the dynamic metacognitions that accompany the problem- and anagramsolving processes. Subjects repeatedly rated how ""warm"" or close they were to solution. High feelings of warmth before an answer indicated that the answer would be incorrect. Moderately low warmth ratings characterized correct responses. The data suggest that the high warmth ratings may result from a process wherein subjects convince themselves that an inelegant but plausible (wrong) answer is correct. No gradual rationalization process precedes the correct response to insight problems. The warmth-rating data also indicate that when the correct answer was given to the problems and anagrams used in this study, there was usually a subjectively catastrophic insight process. In this article, I investigate dynamic metacognitions that lead up to the production of correct or incorrect solutions in solving insight problems and anagrams. A technique is used in which subjects are asked to give judgments about how close they feel to the solution of problems—call ed feeling-of-wa rmth judgments—repeatedly during the course of problem solving. These judgments are called ""warmth"" judgments after the searching game in which one person hides an object and then directs others who do not know where the object is by telling them that"
"Insight is not in the problem: Investigating insight in problem solving across task types","https://scispace.com/paper/insight-is-not-in-the-problem-investigating-insight-in-3q5kuqnyde","2016","Journal Article","Frontiers in Psychology","Margaret E. Webb
Daniel R. Little
Simon J. Cropper","10.3389/FPSYG.2016.01424","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2016.01424/pdf","… (ie, participants agreed that the solution was sudden, surprising, and felt like a small Aha moment). … and incremental pattern of analysis (Feeling of Knowing ratings), again indicating that …","The feeling of insight in problem solving is typically associated with the sudden realization of a solution that appears obviously correct (Kounios et al., 2006). Salvi and colleagues (2016) found that a solution accompanied with sudden insight is more likely to be correct than a problem solved through conscious and incremental steps. However, Metcalfe (1986) indicated that participants would often present an inelegant but plausible (wrong) answer as correct with a high feeling of warmth (a subjective measure of closeness to solution). This discrepancy may be due to the use of different tasks or due to different methods in the measurement of insight (i.e., using a binary vs continuous scale). In three experiments, we investigated both findings, using many different problem tasks (e.g., Compound Remote Associates, so-called classic insight problems, and non-insight problems). Participants rated insight-related affect (feelings of Aha-experience, confidence, surprise, impasse and pleasure) on continuous scales. As expected we found that, for problems designed to elicit insight, correct solutions elicited higher proportions of reported insight in the solution compared to non-insight solutions; further, correct solutions elicited stronger feelings of insight compared to incorrect solutions."
"Metacognitive processes","https://scispace.com/paper/nTucYeSxM8UJ","","","","J Metcalfe","","","… In routine problem solving (Metcalfe, 1986a) and in memory, these judgments of future cognitive … However, for insight problems, the metacognitive judgments are not predictive. The …",""
"How difficult was it? Metacognitive judgments about problems and their solutions after the Aha moment","https://scispace.com/paper/how-difficult-was-it-metacognitive-judgments-about-problems-3ed8j0mr","2022","Journal Article","Frontiers in Psychology","Nadezhda Moroshkina
Alina Savina
Artur Ammalainen
Valeria Gershkovich
Ilia Zverev
O.V. Lvova","10.3389/fpsyg.2022.911904","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2022.911904/pdf","… For nearly a century, the phenomenon of insight has … experience per se has independent functions in problem-solving. … , and its relationship with metacognitive judgments are relevant to …","The insight phenomenon is thought to comprise two components: cognitive and affective (the Aha! experience). The exact nature of the Aha! experience remains unclear; however, several explanations have been put forward. Based on the processing fluency account, the source of the Aha! experience is a sudden increase in processing fluency, associated with emerging of a solution. We hypothesized that in a situation which the Aha! experience accompanies the solution in, the problem would be judged as less difficult, regardless of the objective difficulty. We also planned to confirm previously discovered associations between the Aha! experience and accuracy, confidence, and pleasure. To test the proposed hypothesis, during the preliminary stage of the study, we developed a set of 100 remote associate problems in Russian (RAT-RUS) and asked 125 participants to solve problems and indicate the Aha! moment (after solution generation or solution presentation), confidence, difficulty, and likability of each problem. As expected, the Aha! experience often accompanied correct solutions and correlated with confidence judgments. We also found a positive correlation between the Aha! experience and problem likability. As for the main hypothesis, we confirmed that the Aha! experience after the presentation of the solution was associated with a decrease in subjective difficulty. When participants could not solve a problem but experienced the Aha! moment after the solution was presented to them, the problem was perceived as easier than one without the Aha! experience. We didn’t find the same effect for the Aha! after solution generation. Thus, our study partially supports the processing fluency account and demonstrates the association between the Aha! experience and metacognitive judgments about the accuracy and difficulty of problems."
